gene,gene_id,gps_max_overall,gps_max_immune
ADPRM,ENSG00000170222,0.879532978374909,
ADPRS,ENSG00000116863,0.879532978374909,
ADRA1A,ENSG00000120907,,
ADRA1B,ENSG00000170214,,
ADRA1D,ENSG00000171873,1.29293439871252,
ADRA2A,ENSG00000150594,0.654031739214786,
ADRA2B,ENSG00000274286,0.879532978374909,
ADRA2C,ENSG00000184160,0.879532978374909,
ADRB1,ENSG00000043591,2.57152423200313,
ADRB2,ENSG00000169252,0.879532978374909,0.879532978374909
ADRB3,ENSG00000188778,0.879532978374909,
ADRM1,ENSG00000130706,,
ADSL,ENSG00000239900,1.37126235162559,
ADSS1,ENSG00000185100,1.37126235162559,
ADSS2,ENSG00000035687,0.879532978374909,
ADTRP,ENSG00000111863,1.29293439871252,
AEBP1,ENSG00000106624,1.67379111602002,
AEBP2,ENSG00000139154,0.879532978374909,
AEN,ENSG00000181026,,
AFAP1,ENSG00000196526,2.82649911630222,
AFAP1L1,ENSG00000157510,0.879532978374909,
AFAP1L2,ENSG00000169129,,
AFDN,ENSG00000130396,0.879532978374909,
AFF1,ENSG00000172493,1.29293439871252,1.29293439871252
AFF2,ENSG00000155966,2.1655204892707,
AFF3,ENSG00000144218,1.7846637719632,1.29293439871252
AFF4,ENSG00000072364,1.37126235162559,
AFG1L,ENSG00000135537,,
AFG3L2,ENSG00000141385,1.37126235162559,
AFM,ENSG00000079557,1.29293439871252,1.17728569075626
AFMID,ENSG00000183077,,
AFP,ENSG00000081051,1.67379111602002,
AFTPH,ENSG00000119844,1.29293439871252,1.29293439871252
AGA,ENSG00000038002,1.67379111602002,1.17728569075626
AGAP1,ENSG00000157985,0.879532978374909,
AGAP2,ENSG00000135439,0.879532978374909,
AGAP3,ENSG00000133612,1.17728569075626,
AGAP4,ENSG00000188234,0.654031739214786,
AGAP5,ENSG00000172650,1.27858983329061,
AGAP6,ENSG00000204149,,
AGAP9,ENSG00000204172,,
AGBL1,ENSG00000273540,1.37126235162559,
AGBL2,ENSG00000165923,0.879532978374909,
AGBL3,ENSG00000146856,,
AGBL4,ENSG00000186094,1.29293439871252,
AGBL5,ENSG00000084693,1.67379111602002,
AGER,ENSG00000204305,3.12425182868357,1.83131742997105
AGFG1,ENSG00000173744,0.879532978374909,
AGFG2,ENSG00000106351,0.879532978374909,
AGGF1,ENSG00000164252,0.879532978374909,
AGK,ENSG00000006530,1.37126235162559,
AGL,ENSG00000162688,1.67379111602002,
AGMAT,ENSG00000116771,,
AGMO,ENSG00000187546,1.29293439871252,
AGO1,ENSG00000092847,0.879532978374909,
AGO2,ENSG00000123908,1.37126235162559,1.29293439871252
AGO3,ENSG00000126070,0.879532978374909,
AGO4,ENSG00000134698,0.879532978374909,
AGPAT1,ENSG00000204310,0.879532978374909,0.654031739214786
AGPAT2,ENSG00000169692,0.879532978374909,
AGPAT3,ENSG00000160216,0.879532978374909,
AGPAT4,ENSG00000026652,0.879532978374909,
AGPAT5,ENSG00000155189,0.879532978374909,
AGPS,ENSG00000018510,1.29293439871252,
AGR2,ENSG00000106541,1.17728569075626,
AGR3,ENSG00000173467,1.17728569075626,
AGRN,ENSG00000188157,1.17728569075626,
AGRP,ENSG00000159723,1.17728569075626,
AGT,ENSG00000135744,3.94278658362872,
AGTPBP1,ENSG00000135049,1.37126235162559,
AGTR1,ENSG00000144891,2.1655204892707,
AGTR2,ENSG00000180772,1.94696613792731,
AGTRAP,ENSG00000177674,0.879532978374909,
AGXT,ENSG00000172482,1.67379111602002,0.879532978374909
AGXT2,ENSG00000113492,0.879532978374909,
AHCTF1,ENSG00000153207,0.879532978374909,
AHCY,ENSG00000101444,0.879532978374909,
AHCYL1,ENSG00000168710,0.879532978374909,
AHCYL2,ENSG00000158467,0.879532978374909,
AHDC1,ENSG00000126705,2.1655204892707,0.879532978374909
AHI1,ENSG00000135541,2.1655204892707,1.29293439871252
AHNAK,ENSG00000124942,0.879532978374909,
AHNAK2,ENSG00000185567,0.879532978374909,
AHR,ENSG00000106546,1.37126235162559,1.29293439871252
AHRR,ENSG00000063438,0.879532978374909,
AHSA1,ENSG00000100591,1.17728569075626,
AHSG,ENSG00000145192,1.37126235162559,
AHSP,ENSG00000169877,1.17728569075626,
AICDA,ENSG00000111732,1.67379111602002,1.67379111602002
AIDA,ENSG00000186063,0.879532978374909,
AIF1,ENSG00000204472,1.83131742997105,0.654031739214786
AIF1L,ENSG00000126878,0.879532978374909,
AIFM1,ENSG00000156709,2.1655204892707,
AIFM2,ENSG00000042286,1.29293439871252,1.29293439871252
AIFM3,ENSG00000183773,0.879532978374909,
AIG1,ENSG00000146416,1.94696613792731,
AIM2,ENSG00000163568,1.29293439871252,1.29293439871252
AIMP1,ENSG00000164022,1.37126235162559,1.17728569075626
AIMP2,ENSG00000106305,1.37126235162559,
AIP,ENSG00000110711,1.28598751089579,
AIPL1,ENSG00000129221,2.1655204892707,
AIRE,ENSG00000160224,1.7846637719632,1.29293439871252
AJAP1,ENSG00000196581,1.29293439871252,
AJM1,ENSG00000232434,0.879532978374909,
AJUBA,ENSG00000129474,0.970673209773904,
AK1,ENSG00000106992,1.37126235162559,
AK2,ENSG00000004455,1.67379111602002,1.67379111602002
AK3,ENSG00000147853,,
AK4,ENSG00000162433,1.17728569075626,
