gene,gene_id,immune_genetic_association,cardiac_genetic_association
ADAM8,ENSG00000151651,0.0,0.0
ADAM9,ENSG00000168615,0.0,0.0
ADAMDEC1,ENSG00000134028,0.0,0.0496342273225113
ADAMTS1,ENSG00000154734,0.6686095054547581,0.0694367695041298
ADAMTS10,ENSG00000142303,0.0,0.6203975496605695
ADAMTS12,ENSG00000151388,0.0,0.0
ADAMTS13,ENSG00000160323,0.9470862631116984,0.2647876362930616
ADAMTS14,ENSG00000138316,0.3313491358373913,0.0
ADAMTS15,ENSG00000166106,0.0,0.0635206009127665
ADAMTS16,ENSG00000145536,0.4083349296358429,0.1907323262863112
ADAMTS17,ENSG00000140470,0.488187776888955,0.0
ADAMTS18,ENSG00000140873,0.0,0.057658339701311
ADAMTS19,ENSG00000145808,0.0344078893645098,0.0677782578705245
ADAMTS2,ENSG00000087116,0.5325064642232039,0.3996252325525539
ADAMTS20,ENSG00000173157,0.0995242482812553,0.2636290012929502
ADAMTS3,ENSG00000156140,0.7601844739264677,0.7703486598905417
ADAMTS4,ENSG00000158859,0.2149184013610428,0.0
ADAMTS5,ENSG00000154736,0.0,0.5372031524128437
ADAMTS6,ENSG00000049192,0.4053352152756398,0.3167871082944951
ADAMTS7,ENSG00000136378,0.0,0.8775380062210935
ADAMTS8,ENSG00000134917,0.0,0.8824196709711057
ADAMTS9,ENSG00000163638,0.3854169454398903,0.7392810520822096
ADAMTSL1,ENSG00000178031,0.3839967634920238,0.6376310433859127
ADAMTSL2,ENSG00000197859,0.0,0.0
ADAMTSL3,ENSG00000156218,0.4035670950313658,0.4994331816927251
ADAMTSL4,ENSG00000143382,0.0398322842650569,0.7629403429504753
ADAMTSL5,ENSG00000185761,0.0,0.0
ADAP1,ENSG00000105963,0.5490791080482486,0.6458600441381556
ADAP2,ENSG00000184060,0.0317683823639578,0.0827874444080983
ADAR,ENSG00000160710,0.9126951342712116,0.468701461143337
ADARB1,ENSG00000197381,0.0,0.4502531550295893
ADARB2,ENSG00000185736,0.4196283788112557,0.6449627269544865
ADAT1,ENSG00000065457,0.0,0.0
ADAT2,ENSG00000189007,0.1598167305439279,0.2064385129059028
ADAT3,ENSG00000213638,0.0,0.0
ADCK1,ENSG00000063761,0.0310228596142888,0.0
ADCK2,ENSG00000133597,0.0,0.0
ADCK5,ENSG00000173137,0.0,0.0719230742482183
ADCY1,ENSG00000164742,0.0,0.6366627040219816
ADCY10,ENSG00000143199,0.0,0.393594377236601
ADCY2,ENSG00000078295,0.4682269750320481,0.5461062004844452
ADCY3,ENSG00000138031,0.6032595222101957,0.5874111324157183
ADCY4,ENSG00000129467,0.0,0.1554797413349175
ADCY5,ENSG00000173175,0.3636649201883191,0.677179622081439
ADCY6,ENSG00000174233,0.0,0.0
ADCY7,ENSG00000121281,0.6874488489070012,0.0
ADCY8,ENSG00000155897,0.4288189708687571,0.0898646835591884
ADCY9,ENSG00000162104,0.4455347259430224,0.7750258273550834
ADCYAP1,ENSG00000141433,0.3998450869147532,0.645663714604731
ADCYAP1R1,ENSG00000078549,0.0,0.4678791798658626
ADD1,ENSG00000087274,0.0,0.0
ADD2,ENSG00000075340,0.0,0.1472961629909941
ADD3,ENSG00000148700,0.0,0.0
ADGB,ENSG00000118492,0.0,0.5067831706051181
ADGRA1,ENSG00000197177,0.4385884314684785,0.0
ADGRA2,ENSG00000020181,0.0,0.0
ADGRA3,ENSG00000152990,0.0,0.5186753233833995
ADGRB1,ENSG00000181790,0.0272044170576622,0.0883472259415457
ADGRB2,ENSG00000121753,0.0,0.4385884314684785
ADGRB3,ENSG00000135298,0.2814909264763735,0.2105367659247492
ADGRD1,ENSG00000111452,0.1106852060024119,0.1559552334200485
ADGRD2,ENSG00000180264,0.0691008023535115,0.0904958838120271
ADGRE1,ENSG00000174837,0.0,0.0
ADGRE2,ENSG00000127507,0.0,0.0
ADGRE3,ENSG00000131355,0.0,0.1555578386998871
ADGRE5,ENSG00000123146,0.1562338046911031,0.0
ADGRF1,ENSG00000153292,0.2913867507299768,0.3475911281153999
ADGRF3,ENSG00000173567,0.0,0.0541459727449651
ADGRF4,ENSG00000153294,0.0,0.4399314640122972
ADGRF5,ENSG00000069122,0.3582159707546559,0.0
ADGRG1,ENSG00000205336,0.0,0.5464462179271907
ADGRG2,ENSG00000173698,0.0,0.2226429448745578
ADGRG3,ENSG00000182885,0.0,0.0
