gene_target,n_drugs,action_types,action_types_3cat,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
NDUFA10,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA11,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA12,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA13,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA2,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA3,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA5,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA6,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA7,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA8,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFA9,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFAB1,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFAF1,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFAF2,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFAF3,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFAF4,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB1,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB10,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB11,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB2,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB3,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB4,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB5,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB6,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB7,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB8,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFB9,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFC1,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFC2,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS1,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS2,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS3,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS4,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS5,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS6,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS7,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFS8,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFV1,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFV2,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
NDUFV3,2,INHIBITOR,Inhibiting,METFORMIN;METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia;Fanconi anemia;Graves ophthalmopathy;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;latent autoimmune diabetes in adults;multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;plasma cell myeloma;psoriasis;psoriasis vulgaris,Phase 3,METFORMIN,myalgic encephalomeyelitis/chronic fatigue syndrome;psoriasis vulgaris;type 1 diabetes mellitus
HTR3A,2,AGONIST;ANTAGONIST,Mixed/Undetermined,METOCLOPRAMIDE;ONDANSETRON,myasthenia gravis;type 1 diabetes mellitus,Phase 3,METOCLOPRAMIDE,type 1 diabetes mellitus
CCR2,2,ANTAGONIST;INHIBITOR,Inhibiting,MK-0812;PLOZALIZUMAB,multiple sclerosis,Phase 2,MK-0812;PLOZALIZUMAB,multiple sclerosis
CCR9,2,ANTAGONIST,Inhibiting,MLN3126;VERCIRNON,Crohn disease;Sjogren syndrome;celiac disease;ulcerative colitis,Phase 3,VERCIRNON,Crohn disease
CYSLTR1,2,ANTAGONIST,Inhibiting,MONTELUKAST;MONTELUKAST SODIUM,allergic asthma;allergic rhinitis;atopic IgE-mediated allergic disorder;atopic eczema;chronic graft versus host disease;perennial allergic rhinitis;rheumatoid arthritis;seasonal allergic rhinitis,Approved,MONTELUKAST;MONTELUKAST SODIUM,allergic rhinitis;perennial allergic rhinitis;seasonal allergic rhinitis
APH1A,2,INHIBITOR,Inhibiting,NIROGACESTAT;RG-4733,T-cell acute lymphoblastic leukemia;T-cell leukemia;plasma cell myeloma,Phase 2,NIROGACESTAT;RG-4733,plasma cell myeloma
APH1B,2,INHIBITOR,Inhibiting,NIROGACESTAT;RG-4733,T-cell acute lymphoblastic leukemia;T-cell leukemia;plasma cell myeloma,Phase 2,NIROGACESTAT;RG-4733,plasma cell myeloma
NCSTN,2,INHIBITOR,Inhibiting,NIROGACESTAT;RG-4733,T-cell acute lymphoblastic leukemia;T-cell leukemia;plasma cell myeloma,Phase 2,NIROGACESTAT;RG-4733,plasma cell myeloma
PSEN1,2,INHIBITOR,Inhibiting,NIROGACESTAT;RG-4733,T-cell acute lymphoblastic leukemia;T-cell leukemia;plasma cell myeloma,Phase 2,NIROGACESTAT;RG-4733,plasma cell myeloma
PSEN2,2,INHIBITOR,Inhibiting,NIROGACESTAT;RG-4733,T-cell acute lymphoblastic leukemia;T-cell leukemia;plasma cell myeloma,Phase 2,NIROGACESTAT;RG-4733,plasma cell myeloma
PSENEN,2,INHIBITOR,Inhibiting,NIROGACESTAT;RG-4733,T-cell acute lymphoblastic leukemia;T-cell leukemia;plasma cell myeloma,Phase 2,NIROGACESTAT;RG-4733,plasma cell myeloma
IL15RA,2,AGONIST,Activating,NOGAPENDEKIN ALFA INBAKICEPT;RECOMBINANT HUMAN INTERLEUKIN-15,B-cell chronic lymphocytic leukemia;T-cell leukemia;acute myeloid leukemia;adult T-cell leukemia/lymphoma;lymphopenia;mantle cell lymphoma;primary central nervous system lymphoma,Phase 2,NOGAPENDEKIN ALFA INBAKICEPT;RECOMBINANT HUMAN INTERLEUKIN-15,B-cell chronic lymphocytic leukemia;acute myeloid leukemia;lymphopenia;mantle cell lymphoma;primary central nervous system lymphoma
BCL2A1,2,INHIBITOR,Inhibiting,OBATOCLAX;OBATOCLAX MESYLATE,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;follicular lymphoma;mantle cell lymphoma;myelofibrosis;plasma cell myeloma;systemic mastocytosis",Phase 2,OBATOCLAX;OBATOCLAX MESYLATE,acute myeloid leukemia;follicular lymphoma;mantle cell lymphoma;myelofibrosis;plasma cell myeloma;systemic mastocytosis
BCL2L10,2,INHIBITOR,Inhibiting,OBATOCLAX;OBATOCLAX MESYLATE,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;follicular lymphoma;mantle cell lymphoma;myelofibrosis;plasma cell myeloma;systemic mastocytosis",Phase 2,OBATOCLAX;OBATOCLAX MESYLATE,acute myeloid leukemia;follicular lymphoma;mantle cell lymphoma;myelofibrosis;plasma cell myeloma;systemic mastocytosis
MCL1,2,INHIBITOR,Inhibiting,OBATOCLAX;OBATOCLAX MESYLATE,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;follicular lymphoma;mantle cell lymphoma;myelofibrosis;plasma cell myeloma;systemic mastocytosis",Phase 2,OBATOCLAX;OBATOCLAX MESYLATE,acute myeloid leukemia;follicular lymphoma;mantle cell lymphoma;myelofibrosis;plasma cell myeloma;systemic mastocytosis
CNR2,2,AGONIST,Activating,OLORINAB;S-777469,Crohn disease;atopic eczema,Phase 2,OLORINAB;S-777469,Crohn disease;atopic eczema
IRAK1,2,INHIBITOR,Inhibiting,PACRITINIB;PACRITINIB CITRATE,B-cell chronic lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;chronic graft versus host disease;chronic myelomonocytic leukemia;follicular lymphoma;lymphoplasmacytic lymphoma;lymphoproliferative syndrome;mantle cell lymphoma;marginal zone lymphoma;myelodysplastic/myeloproliferative neoplasm,Approved,PACRITINIB;PACRITINIB CITRATE,acquired polycythemia vera;myelofibrosis;primary myelofibrosis
ITK,2,INHIBITOR,Inhibiting,PAZOPANIB;RITLECITINIB,Crohn disease;acute myeloid leukemia;lymphedema;plasma cell myeloma;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis;vitiligo,Phase 3,RITLECITINIB,vitiligo
GART,2,INHIBITOR,Inhibiting,PEMETREXED;PEMETREXED DISODIUM,diffuse large B-cell lymphoma;metastatic malignant neoplasm in the lymph nodes;primary central nervous system lymphoma;primary myelofibrosis;thymic carcinoma;thymoma,Phase 2,PEMETREXED;PEMETREXED DISODIUM,diffuse large B-cell lymphoma;metastatic malignant neoplasm in the lymph nodes;primary central nervous system lymphoma;thymic carcinoma;thymoma
CALCR,2,AGONIST,Activating,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus,Phase 3,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus
RAMP1,2,AGONIST,Activating,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus,Phase 3,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus
RAMP2,2,AGONIST,Activating,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus,Phase 3,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus
RAMP3,2,AGONIST,Activating,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus,Phase 3,PRAMLINTIDE;PRAMLINTIDE ACETATE,type 1 diabetes mellitus
CHEK2,2,INHIBITOR,Inhibiting,PREXASERTIB;XL-844,B-cell chronic lymphocytic leukemia;acute myeloid leukemia,Phase 1,PREXASERTIB;XL-844,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
