gene_target,n_drugs,action_types,action_types_3cat,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
PSMA4,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMA5,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMA6,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMA7,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMA8,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMB1,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMB10,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMB11,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMB2,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMB3,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
