drug,chembl_id,drug_type,gene_target,action_type,moa,immune_indication,disease_id,drug_stage_for_immune_indication,ot_approved_immune
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,colitis,MONDO_0005292,Unknown,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,familial Mediterranean fever,MONDO_0018088,Phase 2,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,graft versus host disease,MONDO_0013730,Phase 2,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,granulomatosis with polyangiitis,MONDO_0012105,Phase 3,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,hemophagocytic syndrome,MONDO_0015540,Phase 2,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,immune system disorder,MONDO_0005046,Approved,1
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,macrophage activation syndrome,MONDO_0015545,Phase 2,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,myasthenia gravis,MONDO_0009688,Phase 2,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,plasma cell myeloma,MONDO_0009693,Phase 1,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,systemic lupus erythematosus,MONDO_0007915,Phase 1,0
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,systemic sclerosis,MONDO_0005100,Approved,1
TOCILIZUMAB,CHEMBL1237022,Antibody,IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,Crohn disease,MONDO_0005011,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,Sjogren syndrome,MONDO_0010030,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,ankylosing spondylitis,MONDO_0005306,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,atopic eczema,MONDO_0004980,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,chronic granulomatous disease,MONDO_0018305,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,cutaneous lupus erythematosus,MONDO_0005282,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,discoid lupus erythematosus,MONDO_0019558,Phase 1,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,granulomatosis with polyangiitis,MONDO_0012105,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,immunoglobulin G4-related sclerosing disease,MONDO_0017287,Unknown,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,inflammatory bowel disease,MONDO_0005265,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,myasthenia gravis,MONDO_0009688,Phase 1,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,palmoplantar pustulosis,MONDO_0015597,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,psoriasis,MONDO_0005083,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,psoriasis vulgaris,EFO_1001494,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,psoriasis-related juvenile idiopathic arthritis,MONDO_0019436,Unknown,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,psoriatic arthritis,MONDO_0011849,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,spondyloarthropathy,MONDO_0005095,Unknown,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,systemic lupus erythematosus,MONDO_0007915,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,systemic sclerosis,MONDO_0005100,Phase 2,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,ulcerative colitis,MONDO_0005101,Phase 3,0
TOFACITINIB,CHEMBL221959,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,vitiligo,MONDO_0008661,Phase 1,0
TOFACITINIB CITRATE,CHEMBL2103743,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,psoriatic arthritis,MONDO_0011849,Approved,1
TOFACITINIB CITRATE,CHEMBL2103743,Small molecule,JAK1;JAK2;JAK3;TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
TOL-101,CHEMBL2109591,Unknown,TRAV29DV5;TRBV7-9;TRGV3,INHIBITOR,T-cell receptor inhibitor,multiple sclerosis,MONDO_0005301,Phase 2,0
TOLEBRUTINIB,CHEMBL4650323,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,chronic progressive multiple sclerosis,MONDO_0005284,Phase 3,0
TOLEBRUTINIB,CHEMBL4650323,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,multiple sclerosis,MONDO_0005301,Phase 3,0
TOLEBRUTINIB,CHEMBL4650323,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,myasthenia gravis,MONDO_0009688,Phase 3,0
TOLMETIN,CHEMBL1020,Small molecule,PTGS1;PTGS2,INHIBITOR,Cyclooxygenase inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
TOLMETIN SODIUM,CHEMBL1200613,Small molecule,PTGS1;PTGS2,INHIBITOR,Cyclooxygenase inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
TOMIVOSERTIB,CHEMBL4073443,Small molecule,MKNK1;MKNK2,INHIBITOR,MAP kinase-interacting serine/threonine-protein kinase 1/2 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 1,0
TOPIRAMATE,CHEMBL220492,Small molecule,CA2;CA4;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;GRIA1;GRIA2;GRIA3;GRIA4;GRIK1;GRIK2;GRIK3;GRIK4;GRIK5;SCN10A;SCN11A;SCN1A;SCN2A;SCN3A;SCN4A;SCN5A;SCN7A;SCN8A;SCN9A,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,Carbonic anhydrase II inhibitor;Carbonic anhydrase IV inhibitor;GABA-A receptor; anion channel positive modulator;Glutamate receptor ionotropic AMPA antagonist;Glutamate receptor ionotropic kainate antagonist;Sodium channel alpha subunit blocker,multiple sclerosis,MONDO_0005301,Phase 2,0
TOPIRAMATE,CHEMBL220492,Small molecule,CA2;CA4;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;GRIA1;GRIA2;GRIA3;GRIA4;GRIK1;GRIK2;GRIK3;GRIK4;GRIK5;SCN10A;SCN11A;SCN1A;SCN2A;SCN3A;SCN4A;SCN5A;SCN7A;SCN8A;SCN9A,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,Carbonic anhydrase II inhibitor;Carbonic anhydrase IV inhibitor;GABA-A receptor; anion channel positive modulator;Glutamate receptor ionotropic AMPA antagonist;Glutamate receptor ionotropic kainate antagonist;Sodium channel alpha subunit blocker,ulcerative colitis,MONDO_0005101,Phase 2,0
TOPOTECAN,CHEMBL84,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
TOPOTECAN,CHEMBL84,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
TOPOTECAN,CHEMBL84,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,neutropenia,MONDO_0001475,Phase 2,0
TOPOTECAN,CHEMBL84,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
TOPOTECAN,CHEMBL84,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,primary central nervous system lymphoma,MONDO_0002571,Unknown,0
TOPOTECAN HYDROCHLORIDE,CHEMBL1607,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
TOPOTECAN HYDROCHLORIDE,CHEMBL1607,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,Phase 2,0
TOREFORANT,CHEMBL3301609,Small molecule,HRH4,ANTAGONIST,Histamine H4 receptor antagonist,psoriasis vulgaris,EFO_1001494,Phase 2,0
TOREFORANT,CHEMBL3301609,Small molecule,HRH4,ANTAGONIST,Histamine H4 receptor antagonist,rheumatoid arthritis,MONDO_0008383,Phase 2,0
TORIPALIMAB,CHEMBL4297843,Antibody,PDCD1,ANTAGONIST,Programmed cell death protein 1 antagonist,Niemann-Pick disease type B,MONDO_0011871,Approved,1
TORIPALIMAB,CHEMBL4297843,Antibody,PDCD1,ANTAGONIST,Programmed cell death protein 1 antagonist,acute myeloid leukemia,MONDO_0018874,Phase 1,0
TORIPALIMAB,CHEMBL4297843,Antibody,PDCD1,ANTAGONIST,Programmed cell death protein 1 antagonist,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
TORIPALIMAB,CHEMBL4297843,Antibody,PDCD1,ANTAGONIST,Programmed cell death protein 1 antagonist,hemophagocytic syndrome,MONDO_0015540,Unknown,0
TORIPALIMAB,CHEMBL4297843,Antibody,PDCD1,ANTAGONIST,Programmed cell death protein 1 antagonist,thymic epithelial neoplasm,MONDO_0018079,Phase 2,0
TORIPALIMAB,CHEMBL4297843,Antibody,PDCD1,ANTAGONIST,Programmed cell death protein 1 antagonist,tonsil carcinoma,MONDO_0021337,Phase 2,0
TORUDOKIMAB,CHEMBL4650487,Antibody,IL33,INHIBITOR,Interleukin-33 inhibitor,atopic eczema,MONDO_0004980,Phase 2,0
TOSEDOSTAT,CHEMBL2103847,Small molecule,ANPEP;AOPEP;DNPEP;ENPEP;ERAP1;ERAP2;LAP3;LNPEP;LVRN;METAP1;METAP1D;METAP2;NPEPL1;NPEPPS;RNPEP;RNPEPL1;XPNPEP1;XPNPEP2;XPNPEP3,INHIBITOR,Aminopeptidase inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
TOSEDOSTAT,CHEMBL2103847,Small molecule,ANPEP;AOPEP;DNPEP;ENPEP;ERAP1;ERAP2;LAP3;LNPEP;LVRN;METAP1;METAP1D;METAP2;NPEPL1;NPEPPS;RNPEP;RNPEPL1;XPNPEP1;XPNPEP2;XPNPEP3,INHIBITOR,Aminopeptidase inhibitor,acute myeloid leukemia by FAB classification,MONDO_0015667,Phase 2,0
TOSEDOSTAT,CHEMBL2103847,Small molecule,ANPEP;AOPEP;DNPEP;ENPEP;ERAP1;ERAP2;LAP3;LNPEP;LVRN;METAP1;METAP1D;METAP2;NPEPL1;NPEPPS;RNPEP;RNPEPL1;XPNPEP1;XPNPEP2;XPNPEP3,INHIBITOR,Aminopeptidase inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,B-cell non-Hodgkin lymphoma,MONDO_0015759,Phase 2,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,Graves disease,MONDO_0005364,Unknown,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,diffuse large B-cell lymphoma,MONDO_0018905,Phase 3,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,follicular lymphoma,MONDO_0018906,Phase 3,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,mantle cell lymphoma,MONDO_0018876,Phase 2,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,neoplasm of mature B-cells,MONDO_0004949,Phase 1,0
TOSITUMOMAB,CHEMBL1201604,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,plasma cell myeloma,MONDO_0009693,Phase 2,0
TOSITUMOMAB 131I,CHEMBL3833304,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
TOSITUMOMAB 131I,CHEMBL3833304,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,follicular lymphoma,MONDO_0018906,Phase 3,0
TOSITUMOMAB 131I,CHEMBL3833304,Antibody,MS4A1,BINDING AGENT,B-lymphocyte antigen CD20 binding agent,mantle cell lymphoma,MONDO_0018876,Phase 2,0
TOVORAFENIB,CHEMBL3348923,Small molecule,ARAF;BRAF;RAF1,INHIBITOR,RAF serine/threonine protein kinase inhibitor,Langerhans cell histiocytosis,MONDO_0018310,Phase 2,0
TOVORAFENIB,CHEMBL3348923,Small molecule,ARAF;BRAF;RAF1,INHIBITOR,RAF serine/threonine protein kinase inhibitor,hairy cell leukemia,MONDO_0018935,Phase 2,0
TOZASERTIB,CHEMBL572878,Small molecule,AURKA;AURKB;AURKC,INHIBITOR,Serine/threonine-protein kinase Aurora inhibitor,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,Phase 2,0
TRADIPITANT,CHEMBL3544984,Small molecule,TACR1,ANTAGONIST,Neurokinin 1 receptor antagonist,atopic eczema,MONDO_0004980,Phase 3,0
TRALOKINUMAB,CHEMBL1743081,Antibody,IL13,INHIBITOR,Interleukin-13 inhibitor,atopic eczema,MONDO_0004980,Approved,1
TRALOKINUMAB,CHEMBL1743081,Antibody,IL13,INHIBITOR,Interleukin-13 inhibitor,psoriasis,MONDO_0005083,Unknown,0
TRALOKINUMAB,CHEMBL1743081,Antibody,IL13,INHIBITOR,Interleukin-13 inhibitor,ulcerative colitis,MONDO_0005101,Phase 3,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,Erdheim-Chester disease,MONDO_0018153,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,Langerhans cell histiocytosis,MONDO_0018310,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,Noonan syndrome,MONDO_0018997,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,chronic myelomonocytic leukemia,MONDO_0020311,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,hairy cell leukemia,MONDO_0018935,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,juvenile myelomonocytic leukemia,MONDO_0011908,Phase 2,0
TRAMETINIB,CHEMBL2103875,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor;Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
TRAMETINIB DIMETHYL SULFOXIDE,CHEMBL2105741,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Erdheim-Chester disease,MONDO_0018153,Phase 2,0
TRANEXAMIC ACID,CHEMBL877,Small molecule,PLG,INHIBITOR,Plasminogen inhibitor,rheumatoid arthritis,MONDO_0008383,Phase 2,0
TRANYLCYPROMINE,CHEMBL3989843,Small molecule,MAOA;MAOB,INHIBITOR,Monoamine oxidase inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,B-cell adult acute lymphocytic leukemia,MONDO_0000814,Phase 2,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,B-cell childhood acute lymphoblastic leukemia,MONDO_0000872,Phase 2,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,Crohn disease,MONDO_0005011,Unknown,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,Waldenstrom macroglobulinemia,MONDO_0100280,Unknown,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,ankylosing spondylitis,MONDO_0005306,Unknown,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,Phase 2,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,rheumatoid arthritis,MONDO_0008383,Unknown,0
TRASTUZUMAB,CHEMBL1201585,Antibody,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,ulcerative colitis,MONDO_0005101,Unknown,0
TRASTUZUMAB DERUXTECAN,CHEMBL4297844,Antibody drug conjugate,ERBB2;TOP1,BINDING AGENT;INHIBITOR,DNA topoisomerase I inhibitor;Receptor protein-tyrosine kinase erbB-2 binding agent,neutropenia,MONDO_0001475,Phase 2,0
TRASTUZUMAB EMTANSINE,CHEMBL1743082,Antibody drug conjugate,ERBB2;TUBA1A;TUBA1B;TUBA1C;TUBA3C;TUBA3E;TUBA4A;TUBB;TUBB1;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8,BINDING AGENT;INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent;Tubulin inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
TREBANANIB,CHEMBL2108568,Unknown,ANGPT1;ANGPT2,INHIBITOR,Angiopoietin-1 inhibitor;Angiopoietin-2 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 1,0
TREGALIZUMAB,CHEMBL1743083,Antibody,CD4,AGONIST,T-cell surface antigen CD4 agonist,psoriasis vulgaris,EFO_1001494,Phase 2,0
TREGALIZUMAB,CHEMBL1743083,Antibody,CD4,AGONIST,T-cell surface antigen CD4 agonist,rheumatoid arthritis,MONDO_0008383,Phase 2,0
TREMELIMUMAB,CHEMBL2108658,Antibody,CTLA4,INHIBITOR,Cytotoxic T-lymphocyte protein 4 inhibitor,Crohn disease,MONDO_0005011,Unknown,0
TREMELIMUMAB,CHEMBL2108658,Antibody,CTLA4,INHIBITOR,Cytotoxic T-lymphocyte protein 4 inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
TREMELIMUMAB,CHEMBL2108658,Antibody,CTLA4,INHIBITOR,Cytotoxic T-lymphocyte protein 4 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 1,0
TRENONACOG ALFA,CHEMBL3039538,Unknown,F9,EXOGENOUS PROTEIN,Coagulation factor IX exogenous protein,Ataxia-telangiectasia,Orphanet_100,Phase 3,0
TRENONACOG ALFA,CHEMBL3039538,Unknown,F9,EXOGENOUS PROTEIN,Coagulation factor IX exogenous protein,Niemann-Pick disease type C,MONDO_0018982,Phase 2,0
TRENONACOG ALFA,CHEMBL3039538,Unknown,F9,EXOGENOUS PROTEIN,Coagulation factor IX exogenous protein,ataxia telangiectasia,MONDO_0008840,Phase 3,0
TREPROSTINIL,CHEMBL1237119,Small molecule,PTGIR,AGONIST,Prostanoid IP receptor agonist,systemic sclerosis,MONDO_0005100,Phase 2,0
TREPROSTINIL DIOLAMINE,CHEMBL2107815,Small molecule,PTGIR,AGONIST,Prostanoid IP receptor agonist,scleroderma,MONDO_0019340,Phase 2,0
TREPROSTINIL DIOLAMINE,CHEMBL2107815,Small molecule,PTGIR,AGONIST,Prostanoid IP receptor agonist,systemic sclerosis,MONDO_0005100,Phase 1,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,B-cell non-Hodgkin lymphoma,MONDO_0015759,Phase 2,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,acute myeloid leukemia,MONDO_0018874,Phase 3,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,acute promyelocytic leukemia,MONDO_0012883,Approved,1
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,autoimmune thrombocytopenic purpura,MONDO_0008558,Phase 3,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,chronic myelomonocytic leukemia,MONDO_0020311,Phase 1,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,lymphoproliferative syndrome,MONDO_0016537,Phase 2,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,myelofibrosis,MONDO_0044903,Phase 2,0
TRETINOIN,CHEMBL38,Small molecule,RARA;RARB;RARG,AGONIST,Retinoic acid receptor agonist,plasma cell myeloma,MONDO_0009693,Phase 2,0
TRIAMCINOLONE,CHEMBL1451,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,Crohn disease,MONDO_0005011,Phase 2,0
TRIAMCINOLONE,CHEMBL1451,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,Crohn's colitis,MONDO_0005532,Unknown,0
TRIAMCINOLONE,CHEMBL1451,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,acute graft versus host disease,MONDO_0020546,Phase 3,0
TRIAMCINOLONE,CHEMBL1451,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,acute graft vs. host disease,EFO_0004599,Phase 2,0
TRIAMCINOLONE,CHEMBL1451,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,allergic asthma,MONDO_0004784,Unknown,0
