gene,subset,neglog10_adjp,group
AKR1C8,Th1,0.6068873304090096,other
AKT2,Th1,5.540375732814527e-05,in_trials
AKT3,Th1,5.540375732814527e-05,in_trials
AKTIP,Th1,5.540375732814527e-05,other
ALAD,Th1,5.540375732814527e-05,other
ALCAM,Th1,5.540375732814527e-05,other
ALDH16A1,Th1,5.540375732814527e-05,other
ALDH18A1,Th1,5.540375732814527e-05,other
ALDH1A2,Th1,0.4061107544556832,other
ALDH1B1,Th1,5.540375732814527e-05,other
ALDH1L2,Th1,5.540375732814527e-05,other
ALDH3A2,Th1,5.540375732814527e-05,other
ALDH4A1,Th1,5.540375732814527e-05,other
ALDH5A1,Th1,5.540375732814527e-05,in_trials
ALDH6A1,Th1,5.540375732814527e-05,other
ALDH7A1,Th1,5.540375732814527e-05,other
ALDH9A1,Th1,5.540375732814527e-05,other
ALDOC,Th1,5.540375732814527e-05,other
ALG12,Th1,5.540375732814527e-05,other
ALG14,Th1,5.540375732814527e-05,other
ALG6,Th1,5.540375732814527e-05,other
ALG8,Th1,0.073684635830977,other
ALKAL2,Th1,5.540375732814527e-05,other
ALKBH2,Th1,5.540375732814527e-05,other
ALKBH3,Th1,5.540375732814527e-05,other
ALKBH5,Th1,5.540375732814527e-05,other
ALKBH7,Th1,5.540375732814527e-05,other
ALKBH8,Th1,5.540375732814527e-05,other
ALOX15B,Th1,5.540375732814527e-05,other
ALOX5,Th1,5.540375732814527e-05,approved
ALOX5AP,Th1,5.540375732814527e-05,other
ALPK1,Th1,0.3315644472274205,other
ALPK2,Th1,5.540375732814527e-05,other
ALPK3,Th1,5.540375732814527e-05,other
ALPL,Th1,5.540375732814527e-05,other
ALS2CL,Th1,5.540375732814527e-05,other
ALYREF,Th1,5.540375732814527e-05,other
AMACR,Th1,5.540375732814527e-05,other
AMBRA1,Th1,5.540375732814527e-05,other
AMD1,Th1,5.540375732814527e-05,other
AMDHD2,Th1,5.540375732814527e-05,other
AMER1,Th1,5.540375732814527e-05,other
AMFR,Th1,5.540375732814527e-05,other
AMIGO1,Th1,5.540375732814527e-05,other
AMIGO2,Th1,5.540375732814527e-05,other
AMN,Th1,5.540375732814527e-05,other
AMN1,Th1,0.3539293748530746,other
AMOT,Th1,5.540375732814527e-05,other
AMOTL1,Th1,0.1968389832355384,other
AMPD3,Th1,5.540375732814527e-05,other
AMPH,Th1,5.540375732814527e-05,other
AMT,Th1,5.540375732814527e-05,other
AMZ1,Th1,5.540375732814527e-05,other
AMZ2,Th1,5.540375732814527e-05,other
ANAPC10,Th1,5.540375732814527e-05,other
ANAPC11,Th1,5.540375732814527e-05,other
ANAPC13,Th1,5.540375732814527e-05,other
ANAPC15,Th1,5.540375732814527e-05,other
ANAPC5,Th1,5.540375732814527e-05,other
ANG,Th1,5.540375732814527e-05,other
ANGEL1,Th1,5.540375732814527e-05,other
ANGPTL2,Th1,5.540375732814527e-05,other
ANGPTL6,Th1,5.540375732814527e-05,other
ANK1,Th1,0.2316708258211874,other
ANK2,Th1,5.540375732814527e-05,other
ANK3,Th1,5.540375732814527e-05,other
ANKAR,Th1,5.540375732814527e-05,other
ANKEF1,Th1,5.540375732814527e-05,other
ANKFY1,Th1,5.540375732814527e-05,other
ANKH,Th1,5.540375732814527e-05,other
ANKIB1,Th1,5.540375732814527e-05,other
ANKLE1,Th1,0.0202271399623552,other
ANKMY1,Th1,5.540375732814527e-05,other
ANKRA2,Th1,5.540375732814527e-05,other
ANKRD12,Th1,5.540375732814527e-05,other
ANKRD13A,Th1,5.540375732814527e-05,other
ANKRD13B,Th1,5.540375732814527e-05,other
ANKRD13D,Th1,5.540375732814527e-05,other
ANKRD16,Th1,5.540375732814527e-05,other
ANKRD18A,Th1,2.680619308318529,other
ANKRD18B,Th1,2.5580701022296024,other
ANKRD22,Th1,0.3123584143282664,other
ANKRD24,Th1,5.540375732814527e-05,other
ANKRD26,Th1,5.540375732814527e-05,other
ANKRD28,Th1,5.540375732814527e-05,other
ANKRD29,Th1,5.540375732814527e-05,other
ANKRD33B,Th1,5.540375732814527e-05,other
ANKRD34A,Th1,5.540375732814527e-05,other
ANKRD34B,Th1,5.540375732814527e-05,other
ANKRD35,Th1,5.540375732814527e-05,other
ANKRD36,Th1,5.540375732814527e-05,other
ANKRD37,Th1,5.540375732814527e-05,other
ANKRD39,Th1,5.540375732814527e-05,other
ANKRD42,Th1,5.540375732814527e-05,other
ANKRD44,Th1,5.540375732814527e-05,other
ANKRD45,Th1,5.540375732814527e-05,other
ANKRD46,Th1,5.540375732814527e-05,other
ANKRD50,Th1,5.540375732814527e-05,other
ANKRD55,Th1,1.1279583640400124,other
ANKRD6,Th1,5.540375732814527e-05,other
ANKS6,Th1,5.540375732814527e-05,other
ANKZF1,Th1,5.540375732814527e-05,other
ANO1,Th1,5.540375732814527e-05,other
ANO10,Th1,5.540375732814527e-05,other
ANO6,Th1,5.540375732814527e-05,other
ANO8,Th1,5.540375732814527e-05,other
ANO9,Th1,5.540375732814527e-05,other
ANP32A,Th1,5.540375732814527e-05,other
ANP32E,Th1,5.540375732814527e-05,other
ANPEP,Th1,0.6416163049325081,in_trials
ANTKMT,Th1,0.1307504768077678,other
ANTXR1,Th1,5.540375732814527e-05,other
ANTXR2,Th1,0.0121594278792988,other
ANXA1,Th1,5.540375732814527e-05,other
ANXA2,Th1,5.540375732814527e-05,other
ANXA2R,Th1,5.540375732814527e-05,other
ANXA3,Th1,0.8530826089939528,other
ANXA4,Th1,5.540375732814527e-05,other
ANXA5,Th1,5.540375732814527e-05,other
ANXA8,Th1,5.540375732814527e-05,other
AOAH,Th1,5.540375732814527e-05,other
AP1AR,Th1,5.540375732814527e-05,other
AP1B1,Th1,5.540375732814527e-05,other
AP1G2,Th1,5.540375732814527e-05,other
AP1S2,Th1,5.540375732814527e-05,other
AP1S3,Th1,5.540375732814527e-05,other
AP2A2,Th1,5.540375732814527e-05,other
AP3B2,Th1,5.540375732814527e-05,other
AP3M2,Th1,5.540375732814527e-05,other
AP3S1,Th1,5.540375732814527e-05,other
AP5S1,Th1,5.540375732814527e-05,other
AP5Z1,Th1,5.540375732814527e-05,other
APBA1,Th1,0.0126110540388421,other
APBA2,Th1,5.540375732814527e-05,other
APBB1,Th1,5.540375732814527e-05,other
APBB1IP,Th1,5.540375732814527e-05,other
APBB2,Th1,1.7622376036327436,other
APEH,Th1,5.540375732814527e-05,other
APEX1,Th1,5.540375732814527e-05,other
APH1A,Th1,5.540375732814527e-05,in_trials
APH1B,Th1,5.540375732814527e-05,in_trials
API5,Th1,5.540375732814527e-05,other
APIP,Th1,5.540375732814527e-05,other
APLP1,Th1,5.540375732814527e-05,other
APLP2,Th1,5.540375732814527e-05,other
APOBEC3A,Th1,5.540375732814527e-05,other
APOBEC3B,Th1,5.540375732814527e-05,other
APOBEC3C,Th1,5.540375732814527e-05,other
APOBEC3D,Th1,5.540375732814527e-05,other
APOBEC3F,Th1,5.540375732814527e-05,other
APOBEC3G,Th1,5.540375732814527e-05,other
APOBEC3H,Th1,0.2085040740320802,other
APOBR,Th1,5.540375732814527e-05,other
APOC1,Th1,5.540375732814527e-05,other
APOC2,Th1,5.540375732814527e-05,other
APOD,Th1,5.540375732814527e-05,other
APOL1,Th1,5.540375732814527e-05,other
APOL2,Th1,5.540375732814527e-05,other
APOL3,Th1,5.540375732814527e-05,other
APOL4,Th1,5.540375732814527e-05,other
APOO,Th1,5.540375732814527e-05,other
APOOL,Th1,5.540375732814527e-05,other
APP,Th1,5.540375732814527e-05,other
APPL2,Th1,5.540375732814527e-05,other
APRT,Th1,5.540375732814527e-05,other
APTX,Th1,5.540375732814527e-05,other
AQP11,Th1,1.1564930995974116,other
AQP3,Th1,5.540375732814527e-05,other
AQP7,Th1,5.540375732814527e-05,other
AQP9,Th1,0.0581550204152332,other
AR,Th1,1.1502277893601691,approved
ARAP1,Th1,5.540375732814527e-05,other
ARAP2,Th1,5.540375732814527e-05,other
ARAP3,Th1,5.540375732814527e-05,other
AREG,Th1,5.540375732814527e-05,other
AREL1,Th1,5.540375732814527e-05,other
ARF3,Th1,5.540375732814527e-05,other
ARF4,Th1,5.540375732814527e-05,other
ARF5,Th1,5.540375732814527e-05,other
ARFGEF3,Th1,5.540375732814527e-05,other
ARFIP2,Th1,5.540375732814527e-05,other
ARG2,Th1,5.540375732814527e-05,other
ARHGAP10,Th1,5.540375732814527e-05,other
ARHGAP12,Th1,5.540375732814527e-05,other
ARHGAP15,Th1,5.540375732814527e-05,other
ARHGAP18,Th1,5.540375732814527e-05,other
ARHGAP19,Th1,5.540375732814527e-05,other
ARHGAP20,Th1,5.540375732814527e-05,other
ARHGAP21,Th1,5.540375732814527e-05,other
ARHGAP22,Th1,5.540375732814527e-05,other
ARHGAP23,Th1,5.540375732814527e-05,other
ARHGAP25,Th1,5.540375732814527e-05,other
ARHGAP26,Th1,5.540375732814527e-05,other
ARHGAP27,Th1,5.540375732814527e-05,other
ARHGAP30,Th1,5.540375732814527e-05,other
ARHGAP31,Th1,5.540375732814527e-05,other
ARHGAP32,Th1,5.540375732814527e-05,other
ARHGAP33,Th1,5.540375732814527e-05,other
ARHGAP35,Th1,5.540375732814527e-05,other
ARHGAP39,Th1,5.540375732814527e-05,other
ARHGAP4,Th1,5.540375732814527e-05,other
ARHGAP44,Th1,0.0149992273201929,other
ARHGAP45,Th1,5.540375732814527e-05,other
ARHGAP5,Th1,5.540375732814527e-05,other
ARHGAP8,Th1,5.540375732814527e-05,other
ARHGAP9,Th1,5.540375732814527e-05,other
ARHGDIB,Th1,5.540375732814527e-05,other
ARHGEF1,Th1,5.540375732814527e-05,other
ARHGEF10,Th1,5.540375732814527e-05,other
ARHGEF11,Th1,5.540375732814527e-05,other
ARHGEF12,Th1,5.540375732814527e-05,other
ARHGEF18,Th1,5.540375732814527e-05,other
ARHGEF26,Th1,5.540375732814527e-05,other
ARHGEF3,Th1,5.540375732814527e-05,other
ARHGEF33,Th1,5.540375732814527e-05,other
ARHGEF39,Th1,5.540375732814527e-05,other
ARHGEF40,Th1,5.540375732814527e-05,other
ARHGEF6,Th1,0.2237482603676374,other
ARID1A,Th1,5.540375732814527e-05,other
ARID1B,Th1,5.540375732814527e-05,other
ARID2,Th1,5.540375732814527e-05,other
ARID4A,Th1,5.540375732814527e-05,other
ARID4B,Th1,5.540375732814527e-05,other
ARID5A,Th1,5.540375732814527e-05,other
ARID5B,Th1,5.540375732814527e-05,other
ARIH2,Th1,5.540375732814527e-05,other
ARL1,Th1,5.540375732814527e-05,other
ARL10,Th1,5.540375732814527e-05,other
ARL11,Th1,5.540375732814527e-05,other
ARL13B,Th1,5.540375732814527e-05,other
ARL15,Th1,5.540375732814527e-05,other
ARL2,Th1,5.540375732814527e-05,other
ARL2BP,Th1,5.540375732814527e-05,other
ARL3,Th1,5.540375732814527e-05,other
ARL4C,Th1,5.540375732814527e-05,other
ARL4D,Th1,5.540375732814527e-05,other
ARL5A,Th1,5.540375732814527e-05,other
ARL6,Th1,5.540375732814527e-05,other
ARL6IP1,Th1,5.540375732814527e-05,other
ARL6IP5,Th1,5.540375732814527e-05,other
ARL6IP6,Th1,5.540375732814527e-05,other
ARL8A,Th1,5.540375732814527e-05,other
ARL9,Th1,0.3561109577291378,other
ARMC10,Th1,5.540375732814527e-05,other
ARMC2,Th1,0.0121594278792988,other
ARMC6,Th1,5.540375732814527e-05,other
ARMC7,Th1,5.540375732814527e-05,other
ARMC9,Th1,5.540375732814527e-05,other
ARMCX1,Th1,5.540375732814527e-05,other
ARMCX2,Th1,5.540375732814527e-05,other
ARMCX4,Th1,5.540375732814527e-05,other
ARMCX6,Th1,5.540375732814527e-05,other
ARMH2,Th1,5.540375732814527e-05,other
ARMH3,Th1,5.540375732814527e-05,other
ARNT,Th1,5.540375732814527e-05,other
ARNT2,Th1,5.540375732814527e-05,other
BMAL1,Th1,0.3283713172694744,other
BMAL2,Th1,5.540375732814527e-05,other
ARPC1A,Th1,5.540375732814527e-05,other
ARPC3,Th1,5.540375732814527e-05,other
ARPC5,Th1,5.540375732814527e-05,other
ARPC5L,Th1,5.540375732814527e-05,other
ARRB1,Th1,5.540375732814527e-05,other
ARRB2,Th1,5.540375732814527e-05,other
ARRDC1,Th1,5.540375732814527e-05,other
ARRDC2,Th1,5.540375732814527e-05,other
ARRDC3,Th1,5.540375732814527e-05,other
ARRDC4,Th1,5.540375732814527e-05,other
ARRDC5,Th1,5.540375732814527e-05,other
ARSA,Th1,5.540375732814527e-05,other
ARSB,Th1,5.540375732814527e-05,other
ARSD,Th1,5.540375732814527e-05,other
ARSG,Th1,5.540375732814527e-05,other
ART3,Th1,5.540375732814527e-05,other
ARV1,Th1,5.540375732814527e-05,other
ASAH1,Th1,5.540375732814527e-05,other
ASAP1,Th1,5.540375732814527e-05,other
ASAP2,Th1,5.540375732814527e-05,other
ASB1,Th1,5.540375732814527e-05,other
ASB13,Th1,5.540375732814527e-05,other
ASB2,Th1,5.540375732814527e-05,other
ASB9,Th1,5.540375732814527e-05,other
ASCC1,Th1,5.540375732814527e-05,other
ASCC3,Th1,5.540375732814527e-05,other
ASCL1,Th1,0.457380798473424,other
ASCL2,Th1,5.540375732814527e-05,other
ASF1A,Th1,5.540375732814527e-05,other
ASF1B,Th1,5.540375732814527e-05,other
ASGR1,Th1,5.540375732814527e-05,other
ASH1L,Th1,5.540375732814527e-05,other
ASIC1,Th1,5.540375732814527e-05,other
ASNSD1,Th1,5.540375732814527e-05,other
ASPH,Th1,5.540375732814527e-05,other
ASPHD1,Th1,5.540375732814527e-05,other
ASPM,Th1,5.540375732814527e-05,other
ASPSCR1,Th1,5.540375732814527e-05,other
ASRGL1,Th1,5.540375732814527e-05,other
ASS1,Th1,0.0211200592046037,other
ASTL,Th1,5.540375732814527e-05,other
ASXL2,Th1,5.540375732814527e-05,other
ATAD2,Th1,5.540375732814527e-05,other
ATAD2B,Th1,5.540375732814527e-05,other
ATAD3A,Th1,5.540375732814527e-05,other
ATAD3B,Th1,5.540375732814527e-05,other
ATAD5,Th1,5.540375732814527e-05,other
ATAT1,Th1,5.540375732814527e-05,other
ATF3,Th1,5.540375732814527e-05,other
ATF4,Th1,5.540375732814527e-05,other
ATF5,Th1,5.540375732814527e-05,other
ATF6,Th1,5.540375732814527e-05,other
ATF6B,Th1,5.540375732814527e-05,other
ATF7IP,Th1,5.540375732814527e-05,other
ATF7IP2,Th1,5.540375732814527e-05,other
ATG13,Th1,5.540375732814527e-05,other
ATG14,Th1,5.540375732814527e-05,other
ATG16L1,Th1,5.540375732814527e-05,other
ATG16L2,Th1,5.540375732814527e-05,other
ATG2A,Th1,5.540375732814527e-05,other
ATG3,Th1,5.540375732814527e-05,other
ATG4C,Th1,5.540375732814527e-05,other
ATG9A,Th1,0.3882870266082005,other
ATIC,Th1,5.540375732814527e-05,other
ATL1,Th1,5.540375732814527e-05,other
ATL2,Th1,5.540375732814527e-05,other
ATL3,Th1,5.540375732814527e-05,other
ATM,Th1,5.540375732814527e-05,other
ATN1,Th1,0.0277488538803565,other
ATOH8,Th1,5.540375732814527e-05,other
ATOX1,Th1,5.540375732814527e-05,other
ATP10A,Th1,5.540375732814527e-05,other
ATP10D,Th1,5.540375732814527e-05,other
ATP11A,Th1,5.540375732814527e-05,other
ATP11B,Th1,5.540375732814527e-05,other
