gene,condition,n_sig,group
TBCEL,Stim8hr,0,other
TBCK,Rest,0,other
TBCK,Stim48hr,0,other
TBCK,Stim8hr,0,other
TBK1,Rest,0,other
TBK1,Stim48hr,0,other
TBK1,Stim8hr,0,other
TBKBP1,Rest,0,other
TBKBP1,Stim48hr,0,other
TBKBP1,Stim8hr,0,other
TBL1X,Rest,0,other
TBL1X,Stim48hr,0,other
TBL1X,Stim8hr,0,other
TBL1XR1,Rest,0,other
TBL1XR1,Stim48hr,1,other
TBL1XR1,Stim8hr,0,other
TBL2,Rest,0,other
TBL2,Stim48hr,0,other
TBL2,Stim8hr,0,other
TBP,Rest,0,other
TBP,Stim48hr,0,other
TBP,Stim8hr,0,other
TBPL1,Rest,0,other
TBPL1,Stim48hr,0,other
TBPL1,Stim8hr,0,other
TBPL2,Rest,0,other
TBPL2,Stim48hr,0,other
TBPL2,Stim8hr,0,other
TBR1,Rest,0,other
TBR1,Stim48hr,0,other
TBR1,Stim8hr,0,other
TBRG1,Rest,0,other
TBRG1,Stim48hr,0,other
TBRG1,Stim8hr,0,other
TBRG4,Rest,0,other
TBRG4,Stim48hr,0,other
TBRG4,Stim8hr,0,other
TBX1,Rest,0,other
TBX1,Stim48hr,0,other
TBX1,Stim8hr,0,other
TBX10,Rest,0,other
TBX10,Stim48hr,0,other
TBX10,Stim8hr,0,other
TBX15,Rest,0,other
TBX15,Stim48hr,0,other
TBX15,Stim8hr,0,other
TBX18,Rest,0,other
TBX18,Stim48hr,0,other
TBX18,Stim8hr,0,other
TBX19,Rest,0,other
TBX19,Stim48hr,0,other
TBX19,Stim8hr,0,other
TBX2,Rest,0,other
TBX2,Stim48hr,0,other
TBX2,Stim8hr,0,other
TBX20,Rest,0,other
TBX20,Stim48hr,0,other
TBX20,Stim8hr,0,other
TBX21,Rest,1,other
TBX21,Stim48hr,4,other
TBX21,Stim8hr,3,other
TBX22,Rest,0,other
TBX22,Stim48hr,0,other
TBX22,Stim8hr,0,other
TBX3,Rest,0,other
TBX3,Stim48hr,0,other
TBX3,Stim8hr,0,other
TBX4,Rest,0,other
TBX4,Stim48hr,0,other
TBX4,Stim8hr,0,other
TBX5,Rest,0,other
TBX5,Stim48hr,0,other
TBX5,Stim8hr,0,other
TBX6,Rest,0,other
TBX6,Stim48hr,0,other
TBX6,Stim8hr,0,other
TBXA2R,Rest,0,in_trials
TBXA2R,Stim48hr,0,in_trials
TBXA2R,Stim8hr,0,in_trials
TBXAS1,Rest,0,other
TBXAS1,Stim48hr,0,other
TBXAS1,Stim8hr,0,other
TC2N,Rest,0,other
TC2N,Stim48hr,1,other
TC2N,Stim8hr,0,other
TCAF1,Stim48hr,0,other
TCAF1,Stim8hr,0,other
TCAF2,Rest,0,other
TCAF2,Stim48hr,0,other
TCAF2,Stim8hr,0,other
TCAIM,Rest,0,other
TCAIM,Stim48hr,0,other
TCAIM,Stim8hr,0,other
TCAP,Rest,0,other
TCAP,Stim48hr,0,other
TCAP,Stim8hr,0,other
TCEA1,Rest,0,other
TCEA1,Stim48hr,0,other
TCEA1,Stim8hr,0,other
TCEA2,Rest,0,other
TCEA2,Stim48hr,0,other
TCEA2,Stim8hr,0,other
TCEA3,Rest,0,other
TCEA3,Stim8hr,0,other
TCEAL1,Rest,0,other
TCEAL1,Stim48hr,0,other
TCEAL1,Stim8hr,0,other
TCEAL2,Rest,0,other
TCEAL2,Stim48hr,0,other
TCEAL2,Stim8hr,0,other
TCEAL3,Rest,0,other
TCEAL3,Stim48hr,0,other
TCEAL3,Stim8hr,0,other
TCEAL4,Rest,0,other
TCEAL4,Stim48hr,0,other
TCEAL4,Stim8hr,0,other
TCEAL8,Rest,0,other
TCEAL8,Stim48hr,0,other
TCEAL8,Stim8hr,0,other
TCEAL9,Rest,0,other
TCEAL9,Stim48hr,0,other
TCEAL9,Stim8hr,0,other
TCEANC,Rest,0,other
TCEANC,Stim48hr,0,other
TCEANC,Stim8hr,0,other
TCEANC2,Rest,0,other
TCEANC2,Stim48hr,0,other
TCEANC2,Stim8hr,0,other
TCF12,Rest,0,other
TCF12,Stim48hr,0,other
TCF12,Stim8hr,0,other
TCF15,Rest,0,other
TCF15,Stim48hr,0,other
TCF15,Stim8hr,0,other
TCF19,Rest,0,other
TCF19,Stim48hr,0,other
TCF19,Stim8hr,0,other
TCF20,Rest,0,other
TCF20,Stim48hr,0,other
TCF20,Stim8hr,0,other
TCF21,Rest,0,other
TCF21,Stim48hr,0,other
TCF21,Stim8hr,0,other
TCF23,Rest,0,other
TCF23,Stim48hr,0,other
TCF23,Stim8hr,0,other
TCF24,Rest,0,other
TCF24,Stim48hr,0,other
TCF24,Stim8hr,0,other
TCF25,Rest,0,other
TCF25,Stim48hr,0,other
TCF25,Stim8hr,0,other
TCF3,Rest,0,other
TCF3,Stim48hr,0,other
TCF3,Stim8hr,0,other
TCF4,Rest,0,other
TCF4,Stim48hr,0,other
TCF4,Stim8hr,0,other
TCF7,Rest,0,other
TCF7,Stim48hr,0,other
TCF7,Stim8hr,0,other
TCF7L1,Rest,0,other
TCF7L1,Stim48hr,0,other
TCF7L1,Stim8hr,0,other
TCF7L2,Rest,0,other
TCF7L2,Stim48hr,0,other
TCF7L2,Stim8hr,0,other
TCFL5,Rest,0,other
TCFL5,Stim48hr,0,other
TCFL5,Stim8hr,0,other
TCHP,Rest,0,other
TCHP,Stim48hr,0,other
TCHP,Stim8hr,0,other
TCIM,Rest,0,other
TCIM,Stim48hr,0,other
TCIM,Stim8hr,0,other
TCIRG1,Rest,0,other
TCIRG1,Stim48hr,0,other
TCIRG1,Stim8hr,0,other
TCL1A,Rest,0,other
TCL1A,Stim48hr,0,other
TCL1A,Stim8hr,0,other
TCP11L1,Rest,0,other
TCP11L1,Stim48hr,0,other
TCP11L1,Stim8hr,0,other
TCP11L2,Rest,0,other
TCP11L2,Stim48hr,0,other
TCP11L2,Stim8hr,0,other
TCTA,Rest,0,other
TCTA,Stim48hr,0,other
TCTA,Stim8hr,0,other
TCTN1,Rest,0,other
TCTN1,Stim48hr,0,other
TCTN1,Stim8hr,0,other
TCTN2,Rest,0,other
TCTN2,Stim48hr,0,other
TCTN2,Stim8hr,0,other
TCTN3,Rest,0,other
TCTN3,Stim48hr,0,other
TCTN3,Stim8hr,0,other
TDG,Rest,0,other
TDG,Stim48hr,0,other
TDG,Stim8hr,0,other
TDP1,Rest,0,other
TDP1,Stim48hr,0,other
TDP1,Stim8hr,0,other
TDP2,Rest,0,other
TDP2,Stim48hr,0,other
TDP2,Stim8hr,0,other
TDRD3,Rest,0,other
TDRD3,Stim48hr,0,other
TDRD3,Stim8hr,0,other
TDRD7,Rest,0,other
TDRD7,Stim48hr,0,other
TDRD7,Stim8hr,0,other
TDRKH,Rest,0,other
TDRKH,Stim48hr,0,other
TDRKH,Stim8hr,0,other
TEAD1,Rest,0,other
TEAD1,Stim48hr,0,other
TEAD1,Stim8hr,0,other
TEAD2,Rest,0,other
TEAD2,Stim48hr,0,other
TEAD2,Stim8hr,0,other
TEAD3,Rest,0,other
TEAD3,Stim48hr,0,other
TEAD3,Stim8hr,0,other
TEAD4,Rest,0,other
TEAD4,Stim48hr,0,other
TEAD4,Stim8hr,0,other
TEC,Rest,0,in_trials
TEC,Stim48hr,0,in_trials
TEC,Stim8hr,0,in_trials
TECPR1,Rest,0,other
TECPR1,Stim48hr,0,other
TECPR1,Stim8hr,0,other
TECPR2,Rest,0,other
TECPR2,Stim48hr,0,other
TECPR2,Stim8hr,0,other
TECR,Rest,0,other
TECR,Stim48hr,0,other
TECR,Stim8hr,0,other
TEDC1,Rest,0,other
TEDC1,Stim48hr,0,other
TEDC1,Stim8hr,1,other
TEDC2,Rest,0,other
TEDC2,Stim48hr,0,other
TEDC2,Stim8hr,0,other
TEF,Rest,0,other
TEF,Stim48hr,0,other
TEF,Stim8hr,0,other
TEFM,Rest,1,other
TEFM,Stim48hr,1,other
TEFM,Stim8hr,1,other
TEN1,Stim48hr,0,other
TEN1,Stim8hr,0,other
TENM4,Rest,0,other
TENM4,Stim48hr,0,other
TENM4,Stim8hr,0,other
TENT2,Rest,0,other
TENT2,Stim48hr,0,other
TENT2,Stim8hr,3,other
TENT4A,Rest,1,other
TENT4A,Stim48hr,1,other
TENT4A,Stim8hr,1,other
TENT4B,Rest,0,other
TENT4B,Stim48hr,0,other
TENT4B,Stim8hr,0,other
TENT5A,Rest,0,other
TENT5A,Stim48hr,0,other
TENT5A,Stim8hr,0,other
TENT5C,Rest,0,other
TENT5C,Stim48hr,0,other
TENT5C,Stim8hr,0,other
TEP1,Rest,3,other
TEP1,Stim48hr,0,other
TEP1,Stim8hr,0,other
TEPSIN,Rest,0,other
TEPSIN,Stim48hr,0,other
TEPSIN,Stim8hr,0,other
TERB1,Rest,0,other
TERB1,Stim48hr,0,other
TERB1,Stim8hr,0,other
TERF1,Rest,0,other
TERF1,Stim48hr,0,other
TERF1,Stim8hr,0,other
TERF2IP,Rest,0,other
TERF2IP,Stim48hr,0,other
TERF2IP,Stim8hr,0,other
TERT,Rest,0,in_trials
TERT,Stim48hr,0,in_trials
TERT,Stim8hr,0,in_trials
TES,Rest,0,other
TES,Stim48hr,0,other
TES,Stim8hr,0,other
TESC,Rest,0,other
TESC,Stim48hr,0,other
TESC,Stim8hr,0,other
TESK1,Rest,0,other
TESK1,Stim48hr,0,other
TESK1,Stim8hr,0,other
TESK2,Rest,0,other
TESK2,Stim48hr,0,other
TESK2,Stim8hr,0,other
TESMIN,Rest,0,other
TESMIN,Stim48hr,0,other
TESMIN,Stim8hr,0,other
TESPA1,Rest,1,other
TESPA1,Stim48hr,0,other
TESPA1,Stim8hr,3,other
TET2,Rest,1,other
TET2,Stim48hr,1,other
TET2,Stim8hr,1,other
TET3,Rest,0,other
TET3,Stim48hr,0,other
TET3,Stim8hr,0,other
TEX2,Rest,0,other
TEX2,Stim48hr,0,other
TEX2,Stim8hr,0,other
TEX22,Rest,0,other
TEX22,Stim48hr,0,other
TEX22,Stim8hr,0,other
TEX261,Rest,0,other
TEX261,Stim48hr,0,other
TEX261,Stim8hr,0,other
TEX264,Rest,0,other
TEX264,Stim48hr,0,other
TEX264,Stim8hr,0,other
TEX30,Rest,0,other
TEX30,Stim48hr,0,other
TEX30,Stim8hr,0,other
TF,Rest,0,other
TF,Stim48hr,0,other
TF,Stim8hr,0,other
TFAM,Rest,0,other
TFAM,Stim48hr,14,other
TFAM,Stim8hr,0,other
TFAP2A,Rest,0,other
TFAP2A,Stim48hr,0,other
TFAP2A,Stim8hr,0,other
TFAP2B,Rest,0,other
