gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_imm_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,gene_burden_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
TFAP2D,0.2886692656546223,0.4529279048302738,10670,non-target,unlabeled,,,,0.36,0.871,0,0.167206,0.0,,0.1592275444360033,-0.7040372912010269,,-1.161786734976598,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
IL5RA,0.2886266574636101,0.4528766280381499,10671,in-trial,trial_heldout,Phase 3,,,1.24,-1.9,0,0.052548,0.0,,-1.289578651367123,2.293645408674146,-3.12229892319802,-2.530009430349493,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
HOXB5,0.2886262050825148,0.4528253512460261,10672,non-target,unlabeled,,,,0.868,0.368,0,0.0,0.0,,1.0271909142404814,-1.8090237578346464,-1.8689034818839132,-0.3040043388637618,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
TMEM140,0.2884926976301731,0.4527740744539021,10673,non-target,unlabeled,,0.5900449874763399,0.5900449874763399,,-0.212,0,0.0,0.0,93.62028037513528,-0.0905066652194913,-1.2078474904047556,0.3940052053190851,4.29014754125098,0.7941099817565807,0.8863983698420784,0.4096858638743455,0.4767125059677329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
KCTD8,0.288484021718732,0.4527227976617782,10674,non-target,unlabeled,,,,1.18,-0.173,0,0.425793,0.0,,,,,,,,,,,,,,,,,,,0
SPECC1,0.2884839974003395,0.4526715208696544,10675,non-target,unlabeled,,,,0.736,0.0527,0,0.0,0.0,0.8890071979809543,0.5289844676334793,2.7999385993451114,2.347431618048537,-4.739551634920381,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GKAP1,0.2884804325140252,0.4526202440775305,10676,non-target,unlabeled,,,,0.737,0.815,0,0.414999,0.0,1.3690481728985116,,,5.1513145871214485,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
HBS1L,0.2884267697280103,0.4525689672854066,10677,non-target,unlabeled,,,,0.775,1.31,0,0.671676,0.0,-32.79990516338389,,,,,0.5738858483189992,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
LORICRIN,0.2884214102223362,0.4525176904932827,10678,non-target,unlabeled,,,,3.19,-1.27,0,0.0,0.0,,-0.2549119765564362,1.9635070485880068,0.1972576513756056,2.604747645389236,,,,,,,,,,,,,,0
HMG20A,0.2883763575401061,0.4524664137011588,10679,non-target,unlabeled,,,,0.582,1.98,0,0.099467,0.0,-26.375583500963064,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
DCHS2,0.2883669060828098,0.4524151369090349,10680,non-target,unlabeled,,,,0.895,-0.792,0,0.53861,0.0,,,,,,,,,,,,,,,,,,,0
HP,0.2883618590758018,0.4523638601169111,10681,non-target,unlabeled,,,,0.677,0.981,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
