model,fpr,tpr
full,0.022240303770002714,0.08253094910591471
full,0.022403037700027124,0.08253094910591471
full,0.022403037700027124,0.08390646492434663
full,0.022457282343368593,0.08390646492434663
full,0.022457282343368593,0.08528198074277854
full,0.023162462706807704,0.08528198074277854
full,0.023162462706807704,0.08665749656121045
full,0.024084621643612695,0.08665749656121045
full,0.024084621643612695,0.08803301237964237
full,0.024952535937076213,0.08803301237964237
full,0.024952535937076213,0.08940852819807428
full,0.025386493083807974,0.08940852819807428
full,0.025386493083807974,0.0907840440165062
full,0.025874694873881204,0.0907840440165062
full,0.025874694873881204,0.0921595598349381
full,0.026579875237320316,0.0921595598349381
full,0.026579875237320316,0.09353507565337002
full,0.026688364524003253,0.09353507565337002
full,0.026688364524003253,0.09491059147180192
full,0.026742609167344725,0.09491059147180192
full,0.026742609167344725,0.09628610729023383
full,0.027068077027393545,0.09628610729023383
full,0.027068077027393545,0.09766162310866575
full,0.027827502034174126,0.09766162310866575
full,0.027827502034174126,0.09903713892709766
full,0.029563330621101166,0.09903713892709766
full,0.029563330621101166,0.10041265474552957
full,0.029997287767832927,0.10041265474552957
full,0.029997287767832927,0.10178817056396149
full,0.030105777054515868,0.10178817056396149
full,0.030105777054515868,0.1031636863823934
full,0.03102793599132086,0.1031636863823934
full,0.03102793599132086,0.10591471801925723
full,0.031190669921345268,0.10591471801925723
full,0.031190669921345268,0.10729023383768914
full,0.031624627068077026,0.10729023383768914
full,0.031624627068077026,0.10866574965612105
full,0.03205858421480879,0.10866574965612105
full,0.03205858421480879,0.11004126547455295
full,0.03303498779495525,0.11004126547455295
full,0.03303498779495525,0.11141678129298486
full,0.03314347708163819,0.11141678129298486
full,0.03314347708163819,0.11279229711141678
full,0.03325196636832113,0.11279229711141678
full,0.03325196636832113,0.1155433287482806
full,0.03341470029834554,0.1155433287482806
full,0.03341470029834554,0.11691884456671252
full,0.03357743422836995,0.11691884456671252
full,0.03357743422836995,0.11829436038514443
full,0.0338486574450773,0.11829436038514443
full,0.0338486574450773,0.11966987620357634
full,0.03417412530512612,0.11966987620357634
full,0.03417412530512612,0.12104539202200826
full,0.03596419853539463,0.12104539202200826
full,0.03596419853539463,0.12242090784044017
full,0.03612693246541904,0.12242090784044017
full,0.03612693246541904,0.12379642365887207
full,0.03634391103878492,0.12379642365887207
full,0.03634391103878492,0.12517193947730398
full,0.03639815568212639,0.12517193947730398
full,0.03639815568212639,0.1265474552957359
full,0.03650664496880933,0.1265474552957359
full,0.03650664496880933,0.1279229711141678
full,0.036777868185516684,0.1279229711141678
full,0.036777868185516684,0.12929848693259974
full,0.03742880390561432,0.12929848693259974
full,0.03742880390561432,0.13067400275103164
full,0.03867643070246813,0.13067400275103164
full,0.03867643070246813,0.13204951856946354
full,0.040249525359370764,0.13204951856946354
full,0.040249525359370764,0.13342503438789546
full,0.04187686465961486,0.13342503438789546
full,0.04187686465961486,0.13480055020632736
full,0.042961757526444266,0.13480055020632736
full,0.042961757526444266,0.1361760660247593
full,0.04480607540005425,0.1361760660247593
full,0.04480607540005425,0.1375515818431912
full,0.0456197450501763,0.1375515818431912
full,0.0456197450501763,0.13892709766162312
full,0.04583672362354217,0.13892709766162312
full,0.04583672362354217,0.14167812929848694
full,0.046162191483591,0.14167812929848694
full,0.046162191483591,0.14305364511691884
full,0.047030105777054514,0.14305364511691884
full,0.047030105777054514,0.14442916093535077
full,0.047898020070518035,0.14442916093535077
full,0.047898020070518035,0.14580467675378267
full,0.04892866829400597,0.14580467675378267
full,0.04892866829400597,0.14718019257221457
full,0.04963384865744508,0.14718019257221457
full,0.04963384865744508,0.1485557083906465
full,0.04979658258746949,0.1485557083906465
full,0.04979658258746949,0.1499312242090784
full,0.05093572009764036,0.1499312242090784
