gene,group,gwas_score
BAIAP2L1,other,0.40344
BAIAP2L2,other,0.043865
BAK1,other,0.837134
BANF1,other,0.092512
BANF2,other,0.207246
BANK1,other,0.872906
BARD1,other,0.598992
BARHL1,other,0.032118
BARHL2,other,0.071498
BARX1,other,0.554501
BASP1,other,0.520748
BATF,other,0.702297
BATF3,other,0.72234
BAZ1A,other,0.562608
BAZ2A,other,0.060136
BAZ2B,other,0.341955
BBC3,other,0.052669
BBIP1,other,0.277232
BBOX1,other,0.260722
BBS12,other,0.446901
BBS7,other,0.528011
BBS9,other,0.399625
BCAR1,other,0.081814
BCAS1,other,0.077963
BCAS3,other,0.388779
BCAS4,other,0.046282
BCAT1,other,0.52577
BCCIP,other,0.037517
BCL10,other,0.620252
BCL11A,other,0.334552
BCL2,approved,0.785811
BCL2L11,other,0.817763
BCL2L12,other,0.083765
BCL2L14,other,0.440416
BCL2L15,other,0.039221
BCL3,other,0.205479
BCL6,other,0.464422
BCL9,other,0.439931
BCL9L,other,0.035496
BCLAF1,other,0.031945
BCO1,other,0.438588
BCO2,other,0.035286
BDKRB1,other,0.124013
BDKRB2,other,0.545665
BDNF,other,0.416686
BEAN1,other,0.077655
BEND3,other,0.65339
BEND5,other,0.050468
BEND7,other,0.07698
BFAR,other,0.071875
BFSP1,other,0.053784
BHLHE40,other,0.783195
BHMT,other,0.052321
BICD1,other,0.330789
BIN1,other,0.148996
BIRC5,in_trials,0.26194
BIVM,other,0.040776
BLID,other,0.553312
BLK,approved,0.824246
BLM,other,0.324803
BLOC1S1,other,0.111467
BLOC1S2,other,0.158754
BLOC1S4,other,0.053347
BLZF1,other,0.063775
BMF,other,0.671147
BMP2K,other,0.245784
BMP3,other,0.153734
BMP4,other,0.228335
BMP5,other,0.49243
BMP7,other,0.062755
BMP8A,other,0.473322
BMS1,other,0.476823
BNC1,other,0.055769
BNC2,other,0.69905
BNIP3L,other,0.068999
BOD1,other,0.375522
BOD1L1,other,0.044385
BOD1L2,other,0.640023
BOLL,other,0.318725
BPI,other,0.395238
BPIFA2,other,0.059934
BPIFB1,other,0.032097
BPIFB3,other,0.035889
BPNT1,other,0.416122
BPNT2,other,0.445808
BRAP,other,0.208433
BRD1,other,0.276114
BRD7,other,0.68053
BRDT,in_trials,0.404869
BRF1,other,0.0314
BRINP1,other,0.418715
BRINP2,other,0.043545
BRINP3,other,0.529029
BRIP1,other,0.053167
BRMS1L,other,0.031848
BROX,other,0.043184
BRPF1,other,0.189731
BRPF3,other,0.11199
BRS3,other,0.067864
BRWD1,other,0.361353
BSG,in_trials,0.037824
BSN,other,0.269503
ABTB3,other,0.517258
BTBD16,other,0.187748
BTBD3,other,0.604769
BTBD8,other,0.035671
BTBD9,other,0.041539
BTF3,other,0.039633
BTG1,other,0.50033
BTG3,other,0.032481
BTG4,other,0.062139
BUB1,other,0.101335
POPDC1,other,0.034138
BZW2,other,0.048066
C10orf105,other,0.297151
C10orf120,other,0.339455
C10orf53,other,0.404099
C10orf71,other,0.048468
C10orf90,other,0.464064
C10orf95,other,0.490768
GPR15LG,other,0.068741
C11orf21,other,0.678753
CSTPP1,other,0.526275
POU2AF2,other,0.410328
C11orf65,other,0.206127
C11orf87,other,0.551863
C11orf91,other,0.487068
C11orf97,other,0.589059
C12orf42,other,0.745669
C12orf75,other,0.521683
C14orf132,other,0.155147
C14orf180,other,0.344467
PRMT2IP,other,0.240337
C15orf40,other,0.034587
CLMB,other,0.429387
C16orf78,other,0.095297
C16orf89,other,0.101981
C16orf95,other,0.218769
C17orf67,other,0.042114
RMP24,other,0.344266
C18orf54,other,0.432319
C19orf38,other,0.179473
C19orf47,other,0.267236
ACTMAP,other,0.253152
TEKTIP1,other,0.068493
C19orf84,other,0.176671
C1D,other,0.453157
C1GALT1,other,0.52276
C1GALT1C1,other,0.098272
C1GALT1C1L,other,0.043779
C1QL2,other,0.473297
C1QTNF12,other,0.190712
C1QTNF2,other,0.064725
C1QTNF6,other,0.889927
C1QTNF8,other,0.370688
C1QTNF9,other,0.097374
C1orf105,other,0.070756
C1orf115,other,0.088133
C1orf116,other,0.065726
C1orf122,other,0.16413
C1orf141,other,0.742971
C1orf167,other,0.144142
C1orf174,other,0.383894
C1orf185,other,0.289837
C1orf21,other,0.52276
C1orf226,other,0.121053
C1orf52,other,0.466669
C1orf53,other,0.041386
C1orf54,other,0.477309
KPLCE,other,0.063066
C1orf87,other,0.400789
C20orf173,other,0.045304
C20orf204,other,0.089381
ADISSP,other,0.658642
C21orf91,other,0.396262
C22orf31,other,0.146125
C22orf42,other,0.25323
C2CD4A,other,0.174259
C2CD4D,other,0.141782
CATSPERT,other,0.308075
TSLIG2,other,0.04056
CIMIP5,other,0.303487
C2orf69,other,0.427352
DEMA1,other,0.480339
C3,in_trials,0.414059
CEP15,other,0.192168
FAM194C,other,0.403946
C3orf49,other,0.060494
C3orf62,other,0.050519
C3orf70,other,0.482267
C3orf80,other,0.125585
CIMIP7,other,0.036361
C4BPA,other,0.073533
C4BPB,other,0.05198
ARLN,other,0.112673
C4orf33,other,0.228335
C4orf36,other,0.147591
SPMIP2,other,0.047949
C4orf50,other,0.096103
C5,approved,0.06794
C5orf15,other,0.089126
C5orf46,other,0.384284
C5orf47,other,0.136212
CFAP90,other,0.530972
RIMOC1,other,0.146899
C6orf118,other,0.312162
C6orf120,other,0.036223
C6orf132,other,0.039843
C6orf141,other,0.050407
C6orf58,other,0.431712
C6orf62,other,0.032198
C7,other,0.195317
INTS15,other,0.077383
SPMIP4,other,0.083884
C7orf33,other,0.61911
CHLSN,other,0.649968
C8A,other,0.438288
C8B,other,0.04006
C8orf33,other,0.371461
C8orf34,other,0.485147
C8orf48,other,0.40328
C9orf152,other,0.038043
C9orf153,other,0.082728
SPMIP6,other,0.290695
C9orf40,other,0.134821
QNG1,other,0.080806
CA10,other,0.58075
CA11,other,0.172738
CA12,in_trials,0.506745
CA6,other,0.031788
CA8,other,0.446206
CAAP1,other,0.255821
CABCOCO1,other,0.461084
CABS1,other,0.368624
CACHD1,other,0.244361
CACNA1B,in_trials,0.047558
CACNA1C,in_trials,0.61618
CACNA1H,in_trials,0.252318
CACNA1S,in_trials,0.097142
CACNA2D1,in_trials,0.566575
CACNA2D3,in_trials,0.47897
CACNA2D4,in_trials,0.041742
CACNB2,in_trials,0.398416
CACNB4,in_trials,0.099996
CACNG1,in_trials,0.07555
CACNG3,in_trials,0.450524
CACNG8,in_trials,0.07101
CACYBP,other,0.396531
CAD,other,0.314827
CADM1,other,0.490672
CADM2,other,0.250884
CADPS,other,0.053476
CADPS2,other,0.407763
CALCOCO1,other,0.148731
CALCOCO2,other,0.061731
CALCRL,other,0.058774
CALD1,other,0.424051
CALHM1,other,0.066623
CALHM2,other,0.030935
CALHM3,other,0.080401
CALHM4,other,0.061679
CALHM6,other,0.523015
CALM2,other,0.270408
CALM3,other,0.038038
CALML3,other,0.070491
CAMK1D,other,0.537258
CAMK2A,other,0.598856
CAMK2D,other,0.628378
CAMK2G,other,0.736973
CAMK4,other,0.601864
CAMKMT,other,0.040563
CAMKV,other,0.207291
CAMSAP1,other,0.03657
CAMSAP2,other,0.434802
CAMTA1,other,0.601433
CAND1,other,0.387644
CANT1,other,0.036878
CAP2,other,0.062485
