gene,group,mis_z_score
AKR1B1,non-target,0.85
AKR1B10,non-target,0.471
AKR1B15,non-target,-0.642
AKR1C1,non-target,0.973
AKR1C2,non-target,2.28
AKR1C3,non-target,-1.96
AKR1C4,non-target,-1.09
AKR1C8,non-target,-8.22
AKR1D1,non-target,0.812
AKR1E2,non-target,-0.569
AKR7A2,non-target,-0.594
AKR7A3,non-target,0.826
AKR7L,non-target,1.32
AKT1,in-trial,4.69
AKT1S1,non-target,0.0516
AKT2,in-trial,3.7
AKT3,in-trial,5.92
AKTIP,non-target,2.14
ALAD,non-target,2.48
ALAS1,non-target,1.76
ALAS2,non-target,3.35
ALB,non-target,0.536
ALCAM,non-target,1.68
ALDH16A1,non-target,-1.76
ALDH18A1,non-target,3.05
ALDH1A1,non-target,1.49
ALDH1A2,non-target,1.06
ALDH1A3,non-target,2.68
ALDH1B1,non-target,0.197
ALDH1L1,non-target,1.07
ALDH1L2,non-target,1.67
ALDH2,in-trial,2.04
ALDH3A1,non-target,0.341
ALDH3A2,non-target,0.888
ALDH3B1,non-target,1.03
ALDH3B2,non-target,0.928
ALDH4A1,non-target,0.27
ALDH5A1,in-trial,0.864
ALDH6A1,non-target,1.83
ALDH7A1,non-target,0.632
ALDH8A1,non-target,0.302
ALDH9A1,non-target,-0.158
ALDOA,non-target,0.937
ALDOB,non-target,-1.45
ALDOC,non-target,2.4
ALG1,non-target,-2.83
ALG10,non-target,1.11
ALG10B,non-target,0.379
ALG11,non-target,0.777
ALG12,non-target,0.585
ALG13,non-target,1.6
ALG14,non-target,-0.42
ALG1L2,non-target,-1.13
ALG2,non-target,-0.884
ALG3,non-target,0.63
ALG5,non-target,1.88
ALG6,non-target,1.44
ALG8,non-target,0.635
ALG9,non-target,1.81
ALK,in-trial,0.393
ALKAL1,non-target,-0.0815
ALKAL2,non-target,-0.876
ALKBH1,non-target,0.14
ALKBH2,non-target,0.435
ALKBH3,non-target,-0.206
ALKBH4,non-target,0.563
ALKBH5,non-target,3.74
