gene,condition,n_sig,group
GGT7,Stim8hr,0,non-target
GHDC,Rest,0,non-target
GHDC,Stim48hr,0,non-target
GHDC,Stim8hr,0,non-target
GHITM,Rest,0,non-target
GHITM,Stim48hr,0,non-target
GHITM,Stim8hr,0,non-target
GID4,Rest,0,non-target
GID4,Stim48hr,0,non-target
GID4,Stim8hr,0,non-target
GID8,Rest,0,non-target
GID8,Stim48hr,0,non-target
GID8,Stim8hr,3,non-target
GIGYF2,Rest,0,non-target
GIGYF2,Stim48hr,0,non-target
GIGYF2,Stim8hr,1,non-target
GIMAP1-GIMAP5,Rest,0,non-target
GIMAP1-GIMAP5,Stim48hr,0,non-target
GIMAP1-GIMAP5,Stim8hr,0,non-target
GIMAP2,Rest,0,non-target
GIMAP2,Stim48hr,0,non-target
GIMAP2,Stim8hr,0,non-target
GIMAP4,Rest,0,non-target
GIMAP4,Stim48hr,0,non-target
GIMAP4,Stim8hr,0,non-target
GIMAP5,Rest,0,non-target
GIMAP5,Stim48hr,0,non-target
GIMAP5,Stim8hr,0,non-target
GIMAP6,Rest,0,non-target
GIMAP6,Stim48hr,0,non-target
GIMAP6,Stim8hr,0,non-target
GIMAP7,Rest,0,non-target
GIMAP7,Stim48hr,0,non-target
GIMAP7,Stim8hr,0,non-target
GIMAP8,Rest,0,non-target
GIMAP8,Stim48hr,0,non-target
GIMAP8,Stim8hr,0,non-target
GIN1,Rest,0,non-target
GIN1,Stim48hr,0,non-target
GIN1,Stim8hr,0,non-target
GINM1,Rest,0,non-target
GINM1,Stim48hr,0,non-target
GINM1,Stim8hr,0,non-target
GINS2,Rest,0,non-target
GINS2,Stim48hr,0,non-target
GINS2,Stim8hr,0,non-target
GIPC1,Rest,0,non-target
GIPC1,Stim48hr,0,non-target
GIPC1,Stim8hr,0,non-target
GIPC3,Rest,0,non-target
GIPC3,Stim48hr,0,non-target
GIPC3,Stim8hr,0,non-target
GIPR,Rest,0,in-trial
GIPR,Stim48hr,0,in-trial
GIPR,Stim8hr,0,in-trial
GIT1,Rest,0,non-target
GIT1,Stim48hr,0,non-target
GIT1,Stim8hr,0,non-target
GIT2,Rest,0,non-target
GIT2,Stim48hr,0,non-target
GIT2,Stim8hr,0,non-target
GJB2,Rest,0,non-target
GJB2,Stim48hr,0,non-target
GJB2,Stim8hr,0,non-target
GJB6,Rest,0,non-target
GJB6,Stim48hr,0,non-target
GJB6,Stim8hr,0,non-target
GJC1,Rest,0,non-target
GJC1,Stim48hr,1,non-target
GJC1,Stim8hr,0,non-target
GK,Rest,0,non-target
GK,Stim48hr,0,non-target
GK,Stim8hr,0,non-target
GK5,Rest,0,non-target
GK5,Stim48hr,0,non-target
GK5,Stim8hr,0,non-target
GKAP1,Rest,0,non-target
GKAP1,Stim48hr,0,non-target
GKAP1,Stim8hr,0,non-target
GLA,Rest,0,non-target
GLA,Stim48hr,0,non-target
GLA,Stim8hr,0,non-target
GLB1,Rest,0,non-target
GLB1,Stim48hr,0,non-target
GLB1,Stim8hr,0,non-target
GLB1L,Rest,0,non-target
GLB1L,Stim48hr,0,non-target
GLB1L,Stim8hr,0,non-target
GLB1L2,Rest,0,non-target
GLB1L2,Stim48hr,0,non-target
GLB1L2,Stim8hr,0,non-target
GLB1L3,Rest,0,non-target
GLB1L3,Stim48hr,0,non-target
GLB1L3,Stim8hr,0,non-target
GLCCI1,Rest,0,non-target
GLCCI1,Stim48hr,0,non-target
GLCCI1,Stim8hr,0,non-target
GLCE,Rest,0,non-target
GLCE,Stim48hr,0,non-target
GLCE,Stim8hr,0,non-target
GLDC,Rest,0,non-target
GLDC,Stim48hr,0,non-target
GLDC,Stim8hr,1,non-target
GLG1,Rest,0,non-target
GLG1,Stim48hr,0,non-target
GLG1,Stim8hr,0,non-target
GLI1,Rest,0,non-target
GLI1,Stim48hr,0,non-target
GLI1,Stim8hr,0,non-target
GLI2,Rest,0,non-target
GLI2,Stim48hr,0,non-target
GLI2,Stim8hr,0,non-target
GLI3,Rest,0,non-target
GLI3,Stim48hr,0,non-target
GLI3,Stim8hr,0,non-target
GLI4,Rest,0,non-target
GLI4,Stim48hr,0,non-target
GLI4,Stim8hr,0,non-target
GLIPR1,Rest,0,non-target
GLIPR1,Stim48hr,0,non-target
GLIPR1,Stim8hr,0,non-target
GLIPR2,Rest,3,non-target
GLIPR2,Stim48hr,0,non-target
GLIPR2,Stim8hr,4,non-target
GLIS1,Rest,0,non-target
GLIS1,Stim48hr,0,non-target
