perm,genetic,genetic+observational,genetic+perturbational,full
201,0.4819370283508033,0.4812146811531772,0.4944810702149045,0.48716927519583914
202,0.5215575072990954,0.5302406707190607,0.5423286108585013,0.5383587804527832
203,0.48746420651254807,0.5066508240399495,0.5027841860910354,0.513713125608258
204,0.4616076835941862,0.5023537708004275,0.47330732781314316,0.49963392842897947
205,0.5148495827948755,0.5505792689736595,0.5163057961996842,0.5456680227827502
206,0.5235144625791732,0.5142406707190605,0.5078901386429266,0.5096051149507809
207,0.4860012922988561,0.5065379632731856,0.5180449432824391,0.5183729638315863
208,0.4765506150385296,0.4746102681918984,0.49381400469056624,0.4866904864468163
209,0.48864104404984127,0.5126264458590597,0.5016858916064392,0.512425756633003
210,0.5042303961454394,0.52298178018156,0.4932709519934906,0.5083807495333366
211,0.5004804799055504,0.48257291915952705,0.4971514382807639,0.4793684806713572
212,0.5227523093859188,0.49811729606407257,0.5078996633641251,0.493481373346735
213,0.5265632348952599,0.511052170583449,0.5405082403994959,0.5250945611767897
214,0.4886316948260182,0.49178388295920483,0.4908211362657349,0.48385917133330136
215,0.4828048788270394,0.5230938432329808,0.4752723240638811,0.5080216819030298
216,0.5243306689640869,0.5055753282598637,0.49790263086520203,0.4983989853060833
217,0.5080044831602291,0.5056536798608784,0.5074919989151071,0.5070631471465723
218,0.48562063849136083,0.5086079867260167,0.48706913001164664,0.5055357615788383
219,0.48771505607938864,0.49332840345251205,0.49177319357360516,0.4998677068874743
220,0.5057980822923148,0.4970022176486543,0.4795687550854353,0.47862119689210103
221,0.48274059892467974,0.46507445875013964,0.48262170742992067,0.47082699149635443
222,0.4680029994096906,0.48534928764019847,0.46816176071730564,0.4708815233172195
223,0.49092442444837986,0.5002185580497456,0.4878748863255636,0.4931688763381675
224,0.5430703584932753,0.5297512244930518,0.547461972909587,0.5388444455080649
225,0.5245549705643038,0.5082989198934251,0.5108983072480416,0.4992100224955728
226,0.5002810032068156,0.5106139536367842,0.4995827629668629,0.5069634965458926
227,0.4895998978924361,0.48083956349016416,0.4756820785270983,0.4699826417141307
228,0.4981446098374256,0.48984757255221056,0.49104553359179315,0.48469378898833737
229,0.4954509325292362,0.4905941543419646,0.46620416726495323,0.47601163068970465
230,0.496871519966815,0.5088268957705133,0.48707994703170115,0.4985394789323378
231,0.4869779830565261,0.4968916702563857,0.5110892803012174,0.516359514350899
232,0.49363743837648966,0.464565835447279,0.48835807846328116,0.4669895658833102
233,0.48566606040300575,0.5098756840409068,0.4903616043650984,0.5110671357232885
234,0.5139398203545047,0.5235669522487595,0.5346879497120248,0.5332497965825875
235,0.47806885878843,0.47337865951913716,0.46402276679589655,0.46015070438264816
236,0.49734612868743916,0.5058628248695736,0.4810034461302829,0.4918654094672857
237,0.4731144561974505,0.5004907385248648,0.4703417093444376,0.4937281545653249
238,0.46147692209511953,0.4942887410456452,0.5211468593946935,0.5329656503773194
239,0.5159899168780613,0.5101909570988689,0.5079484675888256,0.5062291357551971
240,0.4922820721453756,0.486170934443753,0.48566261427272295,0.48450085355541733
241,0.4886508399942564,0.4764595797635572,0.4784886485106654,0.4693038497742466
242,0.5180402846248345,0.5264464972319278,0.5241870482936869,0.5234318830868392
243,0.4935350117264155,0.4586997239904912,0.49449603535474396,0.46694916957832766
244,0.5201264697905199,0.5063494790918809,0.5086151980727197,0.492847636369438
245,0.518121252732175,0.4916521801560332,0.5299159208028208,0.5029209304551764
246,0.499885958614528,0.5061978014965139,0.48912702819126025,0.4975155793806538
247,0.5279308540340465,0.5214072496370395,0.523561703281801,0.5107805804176837
248,0.5141860750809681,0.4857107643708419,0.4996934699022001,0.47188343783404335
249,0.4779525359370762,0.45779114216882844,0.4579067151677596,0.44295350914979503
250,0.48706493402894113,0.4655657078128241,0.46025568372182074,0.4531148391008152
251,0.4974793152411493,0.5088007945244819,0.5044986518610699,0.5145169833596579
252,0.47727548301664036,0.4728088035865281,0.4873597377111951,0.4902445157070151
253,0.5107429122991752,0.5025386493083808,0.5341543260103064,0.5197715662343049
254,0.5127144498157278,0.5215893680499051,0.49695871025383304,0.5090789419103687
255,0.4945852199301201,0.4871163547599675,0.5009564128336444,0.4893813717513042
256,0.4815188340592542,0.48466468833261545,0.4710074985242267,0.4818376170647266
257,0.5045459723352319,0.4688851608991847,0.5115957019097305,0.4832017900732303
258,0.5010952631662917,0.5159528071602929,0.4796542382616187,0.49937723958582625
259,0.5150419757813621,0.5173831586336732,0.5020432042629909,0.5013468466312482
260,0.4845263964007083,0.4982601668820497,0.5005834011391375,0.5115205571243958
261,0.4805834968649787,0.4865581614256768,0.47086571259911625,0.4776877582603424
262,0.511539462978031,0.5025142073102633,0.5153729319229725,0.5078326871839054
263,0.5002394741460457,0.47329115014598194,0.5080603232342571,0.4881527146253131
264,0.49608087238149934,0.4959543547280589,0.5183862697235119,0.5142868424831284
265,0.4994449975270825,0.5260440179326409,0.4960060147736881,0.5164792035610013
266,0.5245021298999665,0.5169089966336413,0.5185837521338885,0.5055958614527991
267,0.49929901561926643,0.5041308891335217,0.48042159255891126,0.4965700792929051
268,0.5320699755899105,0.5083111249381771,0.5054192313214952,0.4910686354281338
269,0.48707019895020665,0.5118987061057133,0.4718714880582013,0.49615536304025276
270,0.4734266500741875,0.4579364220871424,0.49346988624579197,0.4706778027728585
271,0.5010390242345921,0.5201242361875589,0.5031772363949648,0.5177135563745433
272,0.5390264362864755,0.5326877742146493,0.5180727675936119,0.5187965347245488
273,0.5116416184048884,0.49586485106654543,0.5160304408174986,0.5079940969064599
274,0.5091586177188533,0.488414285486367,0.5194289315400692,0.5016043970069721
