gene,group,mis_z_score
AKIRIN1,other,0.605
AKIRIN2,other,1.7
AKNA,other,0.663
AKNAD1,other,0.251
AKR1A1,other,0.604
AKR1B1,other,0.85
AKR1B10,other,0.471
AKR1B15,other,-0.642
AKR1C1,other,0.973
AKR1C2,other,2.28
AKR1C3,other,-1.96
AKR1C4,other,-1.09
AKR1C8,other,-8.22
AKR1D1,other,0.812
AKR1E2,other,-0.569
AKR7A2,other,-0.594
AKR7A3,other,0.826
AKR7L,other,1.32
AKT1,in_trials,4.69
AKT1S1,other,0.0516
AKT2,in_trials,3.7
AKT3,in_trials,5.92
AKTIP,other,2.14
ALAD,other,2.48
ALAS1,other,1.76
ALAS2,other,3.35
ALB,other,0.536
ALCAM,other,1.68
ALDH16A1,other,-1.76
ALDH18A1,other,3.05
ALDH1A1,other,1.49
ALDH1A2,other,1.06
ALDH1A3,other,2.68
ALDH1B1,other,0.197
ALDH1L1,other,1.07
ALDH1L2,other,1.67
ALDH2,in_trials,2.04
ALDH3A1,other,0.341
ALDH3A2,other,0.888
ALDH3B1,other,1.03
ALDH3B2,other,0.928
ALDH4A1,other,0.27
ALDH5A1,in_trials,0.864
ALDH6A1,other,1.83
ALDH7A1,other,0.632
ALDH8A1,other,0.302
ALDH9A1,other,-0.158
ALDOA,other,0.937
ALDOB,other,-1.45
ALDOC,other,2.4
ALG1,other,-2.83
ALG10,other,1.11
ALG10B,other,0.379
ALG11,other,0.777
ALG12,other,0.585
ALG13,other,1.6
ALG14,other,-0.42
ALG1L2,other,-1.13
ALG2,other,-0.884
ALG3,other,0.63
ALG5,other,1.88
ALG6,other,1.44
ALG8,other,0.635
ALG9,other,1.81
ALK,in_trials,0.393
ALKAL1,other,-0.0815
ALKAL2,other,-0.876
ALKBH1,other,0.14
ALKBH2,other,0.435
ALKBH3,other,-0.206
ALKBH4,other,0.563
ALKBH5,other,3.74
ALKBH6,other,1.5
ALKBH7,other,-1.03
ALKBH8,other,0.497
ALLC,other,0.0989
ALMS1,other,-3.51
ALOX12,other,1.54
ALOX12B,other,1.65
ALOX15,other,0.31
ALOX15B,other,-0.524
