gene,group,residual
ARMCX2,non-target,3.992414436030296
ARMCX3,non-target,7.645054938071003
ARMCX4,non-target,-1.2775343763410714
ARMCX5,non-target,-8.86015173897666
ARMCX6,non-target,-9.301417085817592
ARMH1,non-target,-9.28850429039038
ARMH2,non-target,3.9968283280537498
ARMH3,non-target,-22.655960483503573
DCPH1,non-target,-15.608208677487534
ARNT,non-target,0.1958455410063872
BMAL1,non-target,46.36312476080435
BMAL2,non-target,64.17125948560907
ARPC1A,non-target,-16.950341059630926
ARPC1B,non-target,35.76844481577219
ARPC2,non-target,-28.266943790628293
ARPC3,non-target,-35.795982063389175
ARPC4,non-target,33.34980972626686
ARPC5,non-target,36.56357639563693
ARPC5L,non-target,55.89875560588782
ARPP19,non-target,-34.84836153026448
ARRB1,non-target,31.947216030154447
ARRB2,non-target,-13.617429517128116
ARRDC1,non-target,-20.41823955382631
ARRDC2,non-target,52.42797712449528
ARRDC3,non-target,119.07948930859244
ARRDC4,non-target,-0.8825202298637299
ARSA,non-target,44.687088355897345
ARSB,non-target,5.801635806756802
ARSG,non-target,27.411193823652923
ARSK,non-target,-13.422390289605778
ARV1,non-target,1.900212780153397
ASAH1,non-target,-0.2976969275880936
ASAP2,non-target,-5.822206623881304
ASB1,non-target,11.080686406392497
ASB13,non-target,-5.674942963234732
ASB2,non-target,17.969244093058858
ASB3,non-target,-19.12200013794042
ASB7,non-target,-10.797167921970692
ASB8,non-target,-23.73598734005969
ASB9,non-target,-8.95133604820315
ASCC1,non-target,-12.08655090643964
ASCC2,non-target,-50.80939491744937
ASCL2,non-target,6.7384839554612554
ASF1A,non-target,12.820418073620845
ASF1B,non-target,42.36522511043423
ASH1L,non-target,64.55721054538657
ASH2L,non-target,-8.08950990464946
ASIC1,non-target,-6.71789649231066
ASIC3,non-target,-9.342753714162784
ASL,non-target,-3.704312422046245
ASMTL,non-target,-18.664635814617792
ASNSD1,non-target,-35.33864811234447
ASPH,non-target,2.941418688269581
ASPHD2,non-target,-12.487478092571129
ASPM,non-target,11.458730924299688
ASPRV1,non-target,-7.343695901625508
ASPSCR1,non-target,-18.91998681444772
ASRGL1,non-target,-8.330153290700895
ASS1,non-target,93.0960996226534
ASTE1,non-target,-27.412878966251785
ASTL,non-target,5.614308623662154
ASXL1,non-target,-17.887541441872155
ASXL2,non-target,11.066507853273851
ATAD1,non-target,-28.229804752832734
ATAD2,non-target,0.7726325483785482
ATAD2B,non-target,-18.80173551480241
ATAD3A,non-target,24.259086312760008
ATAD3B,non-target,29.69326531321983
ATAD5,non-target,12.857153449420997
ATAT1,non-target,-17.200258499525443
ATE1,non-target,-31.1565696522543
ATF1,non-target,-38.19755605764818
ATF2,non-target,-15.586899921852128
ATF3,non-target,82.46967901048343
ATF4,non-target,60.39049303705963
ATF5,non-target,52.8218322266026
ATF6,non-target,-28.777015941941716
ATF6B,non-target,12.559466061440297
ATF7,non-target,-23.738503034493828
ATF7IP,non-target,53.14756731470419
ATF7IP2,non-target,5.456649420928123
ATG10,non-target,-7.312382120338671
ATG101,non-target,-35.23749542059338
ATG12,non-target,-38.585073295321074
ATG13,non-target,-20.381962580839076
ATG14,non-target,-12.181282778741837
ATG16L1,non-target,-7.463030913759847
ATG16L2,non-target,58.68808707784035
ATG2A,non-target,-10.09755981958221
ATG2B,non-target,-19.213540925244946
ATG3,non-target,-14.753770773804618
ATG4A,non-target,-18.802230395012135
ATG4B,non-target,-28.37915624964855
ATG4C,non-target,-29.83878879427257
ATG4D,non-target,-12.630972973980873
ATG5,non-target,-39.29619976463603
ATG7,non-target,-28.62510143893088
ATG9A,non-target,-19.68401533947875
ATG9B,non-target,-9.062977013806448
ATIC,non-target,21.822179555454564
ATL1,non-target,29.54327673647904
ATL2,non-target,-27.511846008899756
ATL3,non-target,-6.145277610072884
ATM,non-target,76.51877715662725
ATMIN,non-target,-31.064114959762332
ATN1,non-target,49.0728655278127
ATOX1,non-target,-4.889922776241822
ATP10A,non-target,-11.71983316396452
ATP10D,non-target,33.71696617402058
ATP11A,non-target,-26.2369859450296
ATP11B,non-target,-14.393602029117517
ATP12A,non-target,0.5439240701205854
ATP13A1,non-target,-25.94818505581212
ATP13A2,non-target,-18.011944875609405
ATP13A3,non-target,3.484074890628184
ATP1A1,in-trial,-14.097993490508603
ATP1A3,in-trial,2.9236497304523454
ATP1B1,in-trial,24.341400502124905
ATP1B3,in-trial,11.039339981871754
ATP23,non-target,-18.06525082489584
ATP2A2,non-target,37.333357156272
ATP2A3,non-target,31.38578458707281
ATP2B1,non-target,-4.371834454512391
ATP2B4,non-target,63.586154506678895
ATP2C1,non-target,-26.113000829273684
ATP5F1A,non-target,-35.29069799375154
ATP5F1B,non-target,-6.201407853921178
ATP5F1C,non-target,-41.43689583311964
ATP5F1D,non-target,-31.557394946168415
ATP5F1E,non-target,-21.590925331003096
ATP5IF1,non-target,12.681690277487007
ATP5MC1,non-target,-3.065696524881704
ATP5MC2,non-target,-38.9562127602492
ATP5MC3,non-target,6.753141027501793
ATP5ME,non-target,-19.444191749290287
ATP5MF,non-target,-36.69733149271061
ATP5MG,non-target,-37.32914769131806
ATP5MK,non-target,-13.637223317564452
ATP5PB,non-target,-16.330830450663953
ATP5PD,non-target,-25.139747170169315
ATP5PF,non-target,-31.47422880008811
ATP5PO,non-target,-29.157093868943985
ATP6AP2,non-target,-30.389504097905164
ATP6V0A1,non-target,12.472645171829155
ATP6V0A2,non-target,-5.447704496842268
ATP6V0B,non-target,2.4568290798023145
ATP6V0C,non-target,-33.52255293384139
ATP6V0E1,non-target,2.113825765578999
ATP6V0E2,non-target,-17.32690983853654
ATP6V1A,non-target,-26.742510387576345
ATP6V1D,non-target,-6.78053511299301
ATP6V1E1,non-target,-22.65099879882648
ATP6V1E2,non-target,-8.797701461932279
ATP6V1G1,non-target,17.22937372754239
ATP6V1G2,non-target,-6.885342683363542
ATP6V1H,non-target,-13.628430646188836
ATP7A,non-target,18.40363135019596
ATP8A1,non-target,11.401797745883629
ATP8A2,non-target,5.7835413073384485
ATP8B2,non-target,26.1202493983364
ATP8B3,non-target,1.9807875384773268
ATP8B4,non-target,45.41332482900068
ATP9A,non-target,16.33823131349923
ATP9B,non-target,13.394439041093449
ATPAF1,non-target,-30.3070710436585
