gene,core,pctile_genetics,pctile_full,rank_shift,cov_class,gen_dec
ACP1,none,0.42031586503948315,0.5844528766280381,0.16413701158855498,both,4
ACP2,none,0.49005230232796637,0.490206132704338,0.000153830376371622,both,4
ACP3,none,0.589426725464055,0.5033842682801764,-0.0860424571838786,obs,5
ACP4,none,0.10260486103989334,0.17393087888421702,0.07132601784432367,none,1
ACP5,none,0.9800020510716849,0.970208183776023,-0.009793867295661896,both,9
ACP6,none,0.19218541688031995,0.17669982565890677,-0.015485591221413186,cau,1
ACP7,none,0.4286739821556763,0.3462209004204697,-0.0824530817352066,none,4
ACR,none,0.617013639626705,0.5744026253717568,-0.042611014254948176,none,6
ACRBP,none,0.4753871397805353,0.28735514306225,-0.1880319967182853,cau,4
ACRV1,none,0.28166341913649884,0.4953850887088504,0.21372166957235156,obs,2
ACSBG1,none,0.6982360783509384,0.8579632858168393,0.15972720746590097,obs,6
ACSBG2,none,0.5408163265306123,0.5309199056507025,-0.009896420879909829,obs,5
ACSF2,none,0.735770690185622,0.7009024715413804,-0.03486821864424161,both,7
ACSF3,none,0.34786175776843403,0.20105630191775203,-0.146805455850682,both,3
ACSL1,none,0.7205414829248282,0.6791098348887293,-0.04143164803609889,both,7
ACSL3,none,0.7010050251256281,0.7663316582914573,0.0653266331658292,both,7
ACSL4,none,0.8369910778381704,0.7622295149215466,-0.07476156291662384,both,8
ACSL5,none,0.3189929238026869,0.35611732130037943,0.03712439749769253,both,3
ACSL6,none,0.8063275561480874,0.9196492667418726,0.11332171059378526,both,8
ACSM1,none,0.17577684340067684,0.3888319146754179,0.21305507127474105,obs,1
ACSM2A,none,0.441288073018152,0.42462311557788945,-0.01666495744026253,obs,4
ACSM2B,none,0.25033329914880526,0.28120192800738386,0.030868628858578606,none,2
ACSM3,none,0.32196697774587224,0.488001230643011,0.16603425289713875,both,3
ACSM4,none,0.5061019382627423,0.44236488565275356,-0.06373705260998874,none,5
ACSM5,none,0.2588452466413701,0.2538713978053533,-0.004973848836016814,none,2
ACSM6,none,0.5152292072607938,0.45979899497487436,-0.055430212285919434,none,5
ACSS1,none,0.7001333196595221,0.6973643728848323,-0.002768946774689751,both,7
ACSS2,none,0.7202338221720849,0.8347348989847195,0.11450107681263466,both,7
ACSS3,none,0.23443749359040097,0.33268382729976415,0.09824633370936317,none,2
ACTA1,none,0.9195979899497487,0.9043687826889549,-0.015229207260793798,obs,9
ACTA2,none,0.9970259460568147,0.9980002051071685,0.000974259050353754,both,9
ACTB,none,0.9957953030458414,0.980412265408676,-0.01538303763716542,both,9
ACTBL2,none,0.2360270741462414,0.2340272792534099,-0.0019997948928315024,none,2
ACTC1,none,0.9166752127986874,0.9214439544662086,0.004768741667521281,none,9
ACTG1,none,0.9520561993641677,0.9436468054558507,-0.008409393908317075,both,9
ACTG2,none,0.9028817557173623,0.9061634704132909,0.003281714695928639,obs,9
ACTL10,none,0.023382217208491436,0.059840016408573476,0.03645779920008204,none,0
ACTL6A,none,0.9632345400471747,0.9909240077940724,0.027689467746897733,both,9
ACTL6B,none,0.877704850784535,0.8622705363552456,-0.01543431442928933,none,8
ACTL7A,none,0.16290636857758178,0.24171879807199262,0.07881242949441084,none,1
ACTL7B,none,0.08578607322325915,0.15408676033227361,0.06830068710901446,obs,0
ACTL8,none,0.8297097733565788,0.8479130345605579,0.018203261203979082,obs,8
ACTL9,none,0.7997128499641063,0.6693159675930673,-0.13039688237103897,none,7
ACTN1,none,0.9850271766998256,0.9966157317198236,0.011588555019998004,both,9
ACTN2,none,0.8065326633165829,0.83632447954056,0.029791816223977086,obs,8
ACTN3,none,0.14060096400369193,0.191723925751205,0.051122961747513074,obs,1
ACTN4,none,0.9690800943492975,0.9290841964926674,-0.03999589785663016,both,9
ACTR10,none,0.38637062865347144,0.37857655625064096,-0.007794072402830476,both,3
ACTR1A,none,0.9523638601169111,0.9167264895908112,-0.03563737052609994,cau,9
ACTR1B,none,0.6599835914265204,0.5597374628243257,-0.10024612860219473,both,6
ACTR2,none,0.9767716131678802,0.7925340990667624,-0.18423751410111777,cau,9
ACTR3,none,0.943082760742488,0.9577992000820429,0.01471643933955491,both,9
ACTR3B,none,0.9920520972207979,0.9626704953338119,-0.02938160188698602,both,9
ACTR3C,none,0.7952517690493283,0.652599733360681,-0.14265203568864726,cau,7
ACTR5,none,0.1883909342631525,0.04214952312583325,-0.14624141113731925,both,1
ACTR6,none,0.7395651728027894,0.6121423443749359,-0.12742282842785357,cau,7
ACTR8,none,0.5822479745667111,0.08860629679007281,-0.49364167777663825,cau,5
ACTRT1,none,0.4103168905753256,0.32160804020100503,-0.08870885037432058,none,4
ACTRT2,none,0.4881550610193826,0.44636447543841656,-0.041790585580966044,none,4
ACTRT3,none,0.3008922161829556,0.5646600348682187,0.2637678186852631,obs,3
ACVR1,none,0.797610501487027,0.8506819813352476,0.05307147984822069,both,7
ACVR1B,none,0.8958055584042662,0.9341093221208081,0.03830376371654187,both,8
ACVR1C,none,0.8409393908317095,0.8383242744333914,-0.002615116398318129,cau,8
ACVR2A,none,0.911496256794175,0.9420059481078864,0.030509691313711396,both,9
ACVR2B,none,0.8468362219259563,0.8449389806173726,-0.001897241308583708,both,8
