gene,subset,neglog10_adjp,group
ANKRD33B,Th1,5.540375732814527e-05,non-target
ANKRD34A,Th1,5.540375732814527e-05,non-target
ANKRD34B,Th1,5.540375732814527e-05,non-target
ANKRD35,Th1,5.540375732814527e-05,non-target
ANKRD36,Th1,5.540375732814527e-05,non-target
ANKRD37,Th1,5.540375732814527e-05,non-target
ANKRD39,Th1,5.540375732814527e-05,non-target
ANKRD42,Th1,5.540375732814527e-05,non-target
ANKRD44,Th1,5.540375732814527e-05,non-target
ANKRD45,Th1,5.540375732814527e-05,non-target
ANKRD46,Th1,5.540375732814527e-05,non-target
ANKRD50,Th1,5.540375732814527e-05,non-target
ANKRD55,Th1,1.1279583640400124,non-target
ANKRD6,Th1,5.540375732814527e-05,non-target
ANKS6,Th1,5.540375732814527e-05,non-target
ANKZF1,Th1,5.540375732814527e-05,non-target
ANO1,Th1,5.540375732814527e-05,non-target
ANO10,Th1,5.540375732814527e-05,non-target
ANO6,Th1,5.540375732814527e-05,non-target
ANO8,Th1,5.540375732814527e-05,non-target
ANO9,Th1,5.540375732814527e-05,non-target
ANP32A,Th1,5.540375732814527e-05,non-target
ANP32E,Th1,5.540375732814527e-05,non-target
ANPEP,Th1,0.6416163049325081,in-trial
ANTKMT,Th1,0.1307504768077678,non-target
ANTXR1,Th1,5.540375732814527e-05,non-target
ANTXR2,Th1,0.0121594278792988,non-target
ANXA1,Th1,5.540375732814527e-05,non-target
ANXA2,Th1,5.540375732814527e-05,non-target
ANXA2R,Th1,5.540375732814527e-05,non-target
ANXA3,Th1,0.8530826089939528,non-target
ANXA4,Th1,5.540375732814527e-05,non-target
ANXA5,Th1,5.540375732814527e-05,non-target
ANXA8,Th1,5.540375732814527e-05,non-target
AOAH,Th1,5.540375732814527e-05,non-target
AP1AR,Th1,5.540375732814527e-05,non-target
AP1B1,Th1,5.540375732814527e-05,non-target
AP1G2,Th1,5.540375732814527e-05,non-target
AP1S2,Th1,5.540375732814527e-05,non-target
AP1S3,Th1,5.540375732814527e-05,non-target
AP2A2,Th1,5.540375732814527e-05,non-target
AP3B2,Th1,5.540375732814527e-05,non-target
AP3M2,Th1,5.540375732814527e-05,non-target
AP3S1,Th1,5.540375732814527e-05,non-target
AP5S1,Th1,5.540375732814527e-05,non-target
AP5Z1,Th1,5.540375732814527e-05,non-target
APBA1,Th1,0.0126110540388421,non-target
APBA2,Th1,5.540375732814527e-05,non-target
APBB1,Th1,5.540375732814527e-05,non-target
APBB1IP,Th1,5.540375732814527e-05,non-target
APBB2,Th1,1.7622376036327436,non-target
APEH,Th1,5.540375732814527e-05,non-target
APEX1,Th1,5.540375732814527e-05,non-target
APH1A,Th1,5.540375732814527e-05,in-trial
APH1B,Th1,5.540375732814527e-05,in-trial
API5,Th1,5.540375732814527e-05,non-target
APIP,Th1,5.540375732814527e-05,non-target
APLP1,Th1,5.540375732814527e-05,non-target
APLP2,Th1,5.540375732814527e-05,non-target
APOBEC3A,Th1,5.540375732814527e-05,non-target
APOBEC3B,Th1,5.540375732814527e-05,non-target
APOBEC3C,Th1,5.540375732814527e-05,non-target
APOBEC3D,Th1,5.540375732814527e-05,non-target
APOBEC3F,Th1,5.540375732814527e-05,non-target
APOBEC3G,Th1,5.540375732814527e-05,non-target
APOBEC3H,Th1,0.2085040740320802,non-target
APOBR,Th1,5.540375732814527e-05,non-target
APOC1,Th1,5.540375732814527e-05,non-target
APOC2,Th1,5.540375732814527e-05,non-target
APOD,Th1,5.540375732814527e-05,non-target
APOL1,Th1,5.540375732814527e-05,non-target
APOL2,Th1,5.540375732814527e-05,non-target
APOL3,Th1,5.540375732814527e-05,non-target
APOL4,Th1,5.540375732814527e-05,non-target
APOO,Th1,5.540375732814527e-05,non-target
APOOL,Th1,5.540375732814527e-05,non-target
APP,Th1,5.540375732814527e-05,non-target
APPL2,Th1,5.540375732814527e-05,non-target
APRT,Th1,5.540375732814527e-05,non-target
APTX,Th1,5.540375732814527e-05,non-target
AQP11,Th1,1.1564930995974116,non-target
AQP3,Th1,5.540375732814527e-05,non-target
AQP7,Th1,5.540375732814527e-05,non-target
AQP9,Th1,0.0581550204152332,non-target
AR,Th1,1.1502277893601691,approved
ARAP1,Th1,5.540375732814527e-05,non-target
ARAP2,Th1,5.540375732814527e-05,non-target
ARAP3,Th1,5.540375732814527e-05,non-target
AREG,Th1,5.540375732814527e-05,non-target
AREL1,Th1,5.540375732814527e-05,non-target
ARF3,Th1,5.540375732814527e-05,non-target
ARF4,Th1,5.540375732814527e-05,non-target
ARF5,Th1,5.540375732814527e-05,non-target
ARFGEF3,Th1,5.540375732814527e-05,non-target
ARFIP2,Th1,5.540375732814527e-05,non-target
ARG2,Th1,5.540375732814527e-05,non-target
ARHGAP10,Th1,5.540375732814527e-05,non-target
