gene,culture_condition,n_sig
ADGRV1,Stim48hr,0
ADGRV1,Stim8hr,0
ADH1B,Rest,0
ADH1B,Stim48hr,0
ADH1B,Stim8hr,0
ADH5,Rest,0
ADH5,Stim48hr,0
ADH5,Stim8hr,0
ADHFE1,Rest,0
ADHFE1,Stim48hr,0
ADHFE1,Stim8hr,0
ADI1,Rest,0
ADI1,Stim48hr,0
ADI1,Stim8hr,0
ADIPOR1,Rest,0
ADIPOR1,Stim48hr,0
ADIPOR1,Stim8hr,0
ADIPOR2,Rest,0
ADIPOR2,Stim48hr,0
ADIPOR2,Stim8hr,0
ADIRF,Rest,0
ADIRF,Stim48hr,0
ADIRF,Stim8hr,0
ADISSP,Rest,0
ADISSP,Stim48hr,0
ADISSP,Stim8hr,0
ADK,Rest,1
ADK,Stim48hr,0
ADK,Stim8hr,0
ADM,Rest,0
ADM,Stim48hr,0
ADM,Stim8hr,0
ADM5,Rest,0
ADM5,Stim48hr,0
ADM5,Stim8hr,0
ADNP,Rest,0
ADNP,Stim48hr,0
ADNP,Stim8hr,0
ADNP2,Rest,0
ADNP2,Stim48hr,1
ADNP2,Stim8hr,0
ADO,Rest,0
ADO,Stim48hr,0
ADO,Stim8hr,1
ADORA2A,Rest,0
ADORA2A,Stim48hr,0
ADORA2A,Stim8hr,1
ADORA2B,Rest,2
ADORA2B,Stim48hr,0
ADORA2B,Stim8hr,0
ADPGK,Rest,0
ADPGK,Stim48hr,0
ADPGK,Stim8hr,0
ADPRH,Rest,2
ADPRH,Stim48hr,0
ADPRH,Stim8hr,0
ADPRM,Rest,0
ADPRM,Stim48hr,0
ADPRM,Stim8hr,0
ADPRS,Rest,0
ADPRS,Stim48hr,0
ADPRS,Stim8hr,0
ADRB2,Rest,3
ADRB2,Stim48hr,0
ADRB2,Stim8hr,0
ADRM1,Rest,0
ADRM1,Stim48hr,0
ADRM1,Stim8hr,0
ADSS2,Rest,1
ADSS2,Stim8hr,0
ADTRP,Rest,0
ADTRP,Stim48hr,0
ADTRP,Stim8hr,0
AEBP1,Rest,0
AEBP1,Stim48hr,0
AEBP1,Stim8hr,0
AEBP2,Rest,0
AEBP2,Stim48hr,1
AEBP2,Stim8hr,0
AEN,Rest,0
AEN,Stim48hr,0
AEN,Stim8hr,0
AFAP1,Rest,0
AFAP1,Stim8hr,0
AFAP1L2,Rest,0
AFAP1L2,Stim48hr,0
AFAP1L2,Stim8hr,0
AFDN,Rest,0
AFDN,Stim48hr,0
AFDN,Stim8hr,0
AFF1,Rest,0
AFF1,Stim48hr,0
AFF1,Stim8hr,0
AFF2,Rest,0
AFF2,Stim48hr,0
AFF2,Stim8hr,0
AFF3,Rest,0
AFF3,Stim48hr,0
AFF3,Stim8hr,0
AFF4,Rest,0
AFF4,Stim48hr,0
AFF4,Stim8hr,0
AFG2A,Stim8hr,0
AFG2B,Rest,0
AFG2B,Stim48hr,0
AFG2B,Stim8hr,0
AFG3L2,Rest,0
AFG3L2,Stim48hr,1
AFG3L2,Stim8hr,0
AFMID,Rest,0
AFMID,Stim48hr,0
AFMID,Stim8hr,0
AFTPH,Rest,0
AFTPH,Stim48hr,0
AFTPH,Stim8hr,0
AGA,Rest,0
AGA,Stim48hr,0
AGA,Stim8hr,0
AGAP1,Rest,0
AGAP1,Stim48hr,0
AGAP1,Stim8hr,0
AGAP2,Rest,0
AGAP2,Stim48hr,0
AGAP2,Stim8hr,0
AGAP3,Rest,0
AGAP3,Stim48hr,0
AGAP3,Stim8hr,0
AGAP4,Rest,0
AGAP4,Stim48hr,0
AGAP4,Stim8hr,0
AGAP5,Rest,0
AGAP5,Stim48hr,0
AGAP5,Stim8hr,0
AGAP6,Rest,0
AGAP6,Stim48hr,0
AGAP6,Stim8hr,0
AGAP9,Rest,0
AGAP9,Stim48hr,0
AGAP9,Stim8hr,0
AGBL2,Rest,0
AGBL2,Stim48hr,0
AGBL2,Stim8hr,0
AGBL5,Rest,0
AGBL5,Stim48hr,0
AGBL5,Stim8hr,0
AGER,Rest,0
AGER,Stim48hr,0
AGER,Stim8hr,0
AGFG1,Rest,0
AGFG1,Stim48hr,0
AGFG1,Stim8hr,0
AGFG2,Rest,0
AGFG2,Stim48hr,0
AGFG2,Stim8hr,0
AGGF1,Rest,0
AGGF1,Stim48hr,0
AGGF1,Stim8hr,0
AGK,Rest,0
AGK,Stim48hr,0
AGK,Stim8hr,0
AGL,Rest,0
AGL,Stim48hr,0
AGL,Stim8hr,0
AGMAT,Rest,0
AGMAT,Stim48hr,0
AGMAT,Stim8hr,0
AGO1,Rest,0
AGO1,Stim48hr,0
AGO1,Stim8hr,0
AGO2,Rest,1
AGO2,Stim48hr,0
AGO2,Stim8hr,0
AGO3,Rest,0
AGO3,Stim48hr,0
AGO3,Stim8hr,0
AGO4,Stim48hr,0
AGO4,Stim8hr,0
AGPAT1,Rest,4
AGPAT1,Stim48hr,0
AGPAT1,Stim8hr,1
AGPAT2,Rest,0
AGPAT2,Stim48hr,0
AGPAT2,Stim8hr,0
AGPAT3,Rest,0
AGPAT3,Stim48hr,0
AGPAT3,Stim8hr,0
AGPAT4,Rest,0
AGPAT4,Stim48hr,0
AGPAT4,Stim8hr,0
AGPAT5,Rest,0
AGPAT5,Stim48hr,0
AGPAT5,Stim8hr,0
AGPS,Rest,0
AGPS,Stim48hr,0
AGPS,Stim8hr,0
AGR2,Rest,2
AGR2,Stim48hr,0
AGR2,Stim8hr,0
AGR3,Rest,0
AGR3,Stim48hr,0
AGR3,Stim8hr,0
AGRN,Rest,0
AGRN,Stim48hr,0
AGRN,Stim8hr,0
AGTPBP1,Rest,1
AGTPBP1,Stim48hr,0
AGTPBP1,Stim8hr,0
AGTRAP,Rest,0
AGTRAP,Stim48hr,0
AGTRAP,Stim8hr,0
AHCYL1,Rest,0
AHCYL1,Stim48hr,0
AHCYL1,Stim8hr,0
AHCYL2,Rest,0
AHCYL2,Stim48hr,0
AHCYL2,Stim8hr,0
AHDC1,Rest,0
AHDC1,Stim48hr,0
AHDC1,Stim8hr,0
AHI1,Rest,0
AHI1,Stim48hr,0
AHI1,Stim8hr,0
AHNAK,Rest,2
AHNAK,Stim48hr,0
AHNAK,Stim8hr,0
AHR,Rest,6
AHR,Stim48hr,1
AHR,Stim8hr,3
AHRR,Rest,0
AHRR,Stim48hr,0
AHRR,Stim8hr,0
AHSA1,Rest,0
AHSA1,Stim48hr,0
AHSA1,Stim8hr,0
AHSP,Rest,0
AHSP,Stim48hr,0
AHSP,Stim8hr,0
AIDA,Rest,0
AIDA,Stim48hr,0
AIDA,Stim8hr,0
AIF1,Rest,0
AIF1,Stim48hr,0
AIF1,Stim8hr,0
AIFM1,Rest,1
AIFM1,Stim48hr,0
AIFM1,Stim8hr,1
AIFM2,Rest,0
AIFM2,Stim48hr,0
AIFM2,Stim8hr,0
AIG1,Rest,0
AIG1,Stim48hr,0
AIG1,Stim8hr,0
AIM2,Rest,0
AIM2,Stim48hr,0
AIM2,Stim8hr,0
AIMP1,Rest,1
AIMP1,Stim48hr,0
AIMP1,Stim8hr,0
AIMP2,Rest,0
AIMP2,Stim48hr,0
AIMP2,Stim8hr,0
AIP,Rest,0
AIP,Stim48hr,0
AIP,Stim8hr,0
AIRE,Rest,0
AIRE,Stim48hr,0
AIRE,Stim8hr,0
AIRIM,Rest,0
AIRIM,Stim48hr,0
AIRIM,Stim8hr,1
AJAP1,Rest,0
AJAP1,Stim48hr,0
AJAP1,Stim8hr,0
AK1,Rest,0
AK1,Stim48hr,0
AK1,Stim8hr,0
AK3,Rest,1
AK3,Stim48hr,0
AK3,Stim8hr,0
AK4,Rest,0
AK4,Stim48hr,0
AK4,Stim8hr,0
AK5,Rest,0
AK5,Stim8hr,1
AK9,Rest,0
AK9,Stim48hr,0
AK9,Stim8hr,0
AKAP1,Rest,0
AKAP1,Stim48hr,0
AKAP1,Stim8hr,0
AKAP10,Rest,0
AKAP10,Stim48hr,0
AKAP10,Stim8hr,0
AKAP11,Rest,0
AKAP11,Stim48hr,0
AKAP11,Stim8hr,0
AKAP12,Rest,0
AKAP12,Stim48hr,0
AKAP12,Stim8hr,0
AKAP13,Rest,0
AKAP13,Stim48hr,0
AKAP13,Stim8hr,0
AKAP17A,Rest,1
AKAP17A,Stim48hr,0
AKAP17A,Stim8hr,1
AKAP19,Rest,0
AKAP19,Stim48hr,0
AKAP19,Stim8hr,0
AKAP5,Rest,0
AKAP5,Stim48hr,0
AKAP5,Stim8hr,0
AKAP7,Rest,0
AKAP7,Stim48hr,0
AKAP7,Stim8hr,0
AKAP8,Rest,0
AKAP8,Stim48hr,0
AKAP8,Stim8hr,0
AKAP8L,Rest,0
AKAP8L,Stim48hr,0
AKAP8L,Stim8hr,0
AKAP9,Rest,0
AKAP9,Stim48hr,0
AKAP9,Stim8hr,0
AKIP1,Rest,0
AKIP1,Stim48hr,0
AKIP1,Stim8hr,0
AKIRIN1,Rest,0
AKIRIN1,Stim48hr,0
AKIRIN1,Stim8hr,0
AKIRIN2,Rest,0
AKIRIN2,Stim48hr,0
AKIRIN2,Stim8hr,0
AKNA,Rest,0
AKNA,Stim48hr,0
AKNA,Stim8hr,0
AKR1A1,Rest,0
AKR1A1,Stim48hr,0
AKR1A1,Stim8hr,0
AKR1B1,Rest,0
AKR1B1,Stim48hr,0
AKR1B1,Stim8hr,0
AKR1C1,Rest,2
AKR1C1,Stim48hr,0
AKR1C1,Stim8hr,0
AKR1C3,Rest,5
AKR1C3,Stim48hr,0
AKR1C3,Stim8hr,0
AKR1E2,Rest,0
AKR1E2,Stim48hr,0
AKR1E2,Stim8hr,0
AKR7A2,Rest,0
AKR7A2,Stim48hr,0
AKR7A2,Stim8hr,0
AKR7A3,Rest,0
