symbol	status	alias_symbol	prev_symbol
ACOT4P1	Approved		
ACOT6	Approved		C14orf42
ACOT7	Approved	BACH|ACH1|ACT|CTE-II|LACH1|MGC1126|hBACH	
ACOT8	Approved	hACTE-III|hTE|PTE-2|NAP1	PTE1
ACOT9	Approved	CGI-16|MT-ACT48|ACATE2	
ACOT11	Approved	STARD14|BFIT|KIAA0707|BFIT1|THEM1	THEA
ACOT12	Approved	Cach|THEAL|STARD15	
ACOT12-DT	Approved		
ACOT13	Approved	HT012	THEM2
ACOX1	Approved	PALMCOX	
ACOX2	Approved	BRCACOX|BRCOX|THCCox	
ACOX3	Approved		
ACOXL	Approved	FLJ11042|ACOX4	
ACOXL-AS1	Approved		
ACP1	Approved	HAAP|LMW-PTP|LMWPTP	
ACP2	Approved	LAP	
ACP3	Approved	ACP-3|PAP|TM-PAP	ACPP
ACP4	Approved		ACPT
ACP5	Approved	TRAP|HPAP|TRAcP	
ACP6	Approved	LPAP|ACPL1	
ACP7	Approved	FLJ16165|PAPL1|PAPL	
ACR	Approved		
ACRBP	Approved	SP32|OY-TES-1|CT23	
ACRP1	Approved		
ACRV1	Approved	SPACA2|SP-10|D11S4365	
ACSBG1	Approved	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG	
ACSBG2	Approved	BGR|PRTD-NY3|DKFZp434K1635	
ACSBG3P	Approved		
ACSF2	Approved	FLJ20920|ACSMW	
ACSF3	Approved		
ACSL1	Approved	LACS2|LACS|ACS1|LACS1|FACL1	FACL2
ACSL1-DT	Approved		
ACSL3	Approved	ACS3|PRO2194	FACL3
ACSL3-AS1	Approved		
ACSL3P1	Approved		
ACSL4	Approved	ACS4|LACS4	FACL4|MRX63|MRX68
ACSL5	Approved	ACS5|ACS2	FACL5
ACSL6	Approved	KIAA0837|ACS2|LACS5|LACS2	FACL6
ACSL6-AS1	Approved		
ACSL6-AS2	Approved		
ACSM1	Approved	MACS1	BUCS1
ACSM2A	Approved	A-923A4.1|MGC150530	ACSM2
ACSM2B	Approved	HXMA|HYST1046	ACSM2
ACSM3	Approved	SA	SAH
ACSM4	Approved		
ACSM5	Approved	FLJ20581	
ACSM5P1	Approved		
ACSM6	Approved	bA310E22.3	C10orf129
ACSS1	Approved	dJ568C11.3|AceCS2L|MGC33843	ACAS2L
